wrong_to_nonadmission_ratio,policy,relative_cost,ci_low,ci_high,delta_vs_A,delta_ci_low,delta_ci_high,point_optimal
1,A_unanimous_three_source,0.8704166666666666,0.8643581730769231,0.8763798076923076,0.0,0.0,0.0,False
1,B_multi_source_three_component,0.8702564102564102,0.8642628205128206,0.8761570512820512,-0.0001602564102564097,-0.0006410256410256387,0.0002892628205129017,False
1,C_required_role_two_component,0.9465705128205129,0.9326915064102564,0.9603533653846154,0.07615384615384624,0.0670504807692308,0.08528926282051287,False
1,A_unanimous_two_component,0.9465705128205129,0.9326915064102564,0.9603533653846154,0.07615384615384624,0.0670504807692308,0.08528926282051287,False
1,always_withhold,1.0,1.0,1.0,0.12958333333333338,0.12362019230769236,0.1356418269230769,False
1,always_continue,0.6310576923076923,0.6303205128205128,0.6317628205128205,-0.23935897435897435,-0.24557932692307688,-0.23336458333333332,True
2,A_unanimous_three_source,0.8704166666666666,0.8643581730769231,0.8763798076923076,0.0,0.0,0.0,False
2,B_multi_source_three_component,0.8702564102564102,0.8642628205128206,0.8761570512820512,-0.0001602564102564097,-0.0006410256410256387,0.0002892628205129017,True
2,C_required_role_two_component,1.0234935897435897,1.0096145833333332,1.0372764423076923,0.1530769230769231,0.14397355769230777,0.16221233974358984,False
2,A_unanimous_two_component,1.0234935897435897,1.0096145833333332,1.0372764423076923,0.1530769230769231,0.14397355769230777,0.16221233974358984,False
2,always_withhold,1.0,1.0,1.0,0.12958333333333338,0.12362019230769236,0.1356418269230769,False
2,always_continue,1.2621153846153845,1.2606410256410256,1.263525641025641,0.3916987179487179,0.38528766025641026,0.39779086538461544,False
5,A_unanimous_three_source,0.8704166666666666,0.8643581730769231,0.8763798076923076,0.0,0.0,0.0,False
5,B_multi_source_three_component,0.8702564102564102,0.8642628205128206,0.8761570512820512,-0.0001602564102564097,-0.0006410256410256387,0.0002892628205129017,True
5,C_required_role_two_component,1.2542628205128206,1.240383814102564,1.2680456730769232,0.38384615384615395,0.3747427884615384,0.39298157051282046,False
5,A_unanimous_two_component,1.2542628205128206,1.240383814102564,1.2680456730769232,0.38384615384615395,0.3747427884615384,0.39298157051282046,False
5,always_withhold,1.0,1.0,1.0,0.12958333333333338,0.12362019230769236,0.1356418269230769,False
5,always_continue,3.1552884615384613,3.1516025641025642,3.1588141025641026,2.284871794871795,2.2772748397435896,2.2919238782051288,False
10,A_unanimous_three_source,0.8704166666666666,0.8643581730769231,0.8763798076923076,0.0,0.0,0.0,False
10,B_multi_source_three_component,0.8702564102564102,0.8642628205128206,0.8761570512820512,-0.0001602564102564097,-0.0006410256410256387,0.0002892628205129017,True
10,C_required_role_two_component,1.6388782051282051,1.6249991987179486,1.6526610576923078,0.7684615384615385,0.7593581730769232,0.7775969551282053,False
10,A_unanimous_two_component,1.6388782051282051,1.6249991987179486,1.6526610576923078,0.7684615384615385,0.7593581730769232,0.7775969551282053,False
10,always_withhold,1.0,1.0,1.0,0.12958333333333338,0.12362019230769236,0.1356418269230769,False
10,always_continue,6.310576923076923,6.3032051282051285,6.317628205128205,5.440160256410256,5.429935096153846,5.449744391025641,False
20,A_unanimous_three_source,0.8704166666666666,0.8643581730769231,0.8763798076923076,0.0,0.0,0.0,False
20,B_multi_source_three_component,0.8702564102564102,0.8642628205128206,0.8761570512820512,-0.0001602564102564097,-0.0006410256410256387,0.0002892628205129017,True
20,C_required_role_two_component,2.4081089743589743,2.394229967948718,2.421891826923077,1.5376923076923077,1.528588942307692,1.5468277243589745,False
20,A_unanimous_two_component,2.4081089743589743,2.394229967948718,2.421891826923077,1.5376923076923077,1.528588942307692,1.5468277243589745,False
20,always_withhold,1.0,1.0,1.0,0.12958333333333338,0.12362019230769236,0.1356418269230769,False
20,always_continue,12.621153846153845,12.606410256410257,12.63525641025641,11.750737179487178,11.733842948717948,11.766545673076925,False
50,A_unanimous_three_source,0.8704166666666666,0.8643581730769231,0.8763798076923076,0.0,0.0,0.0,False
50,B_multi_source_three_component,0.8702564102564102,0.8642628205128206,0.8761570512820512,-0.0001602564102564097,-0.0006410256410256387,0.0002892628205129017,True
50,C_required_role_two_component,4.715801282051282,4.701922275641025,4.729584134615385,3.8453846153846154,3.8362812499999994,3.854520032051282,False
50,A_unanimous_two_component,4.715801282051282,4.701922275641025,4.729584134615385,3.8453846153846154,3.8362812499999994,3.854520032051282,False
50,always_withhold,1.0,1.0,1.0,0.12958333333333338,0.12362019230769236,0.1356418269230769,False
50,always_continue,31.552884615384617,31.516025641025642,31.588141025641026,30.68246794871795,30.64426041666667,30.719075320512818,False
