holdout,model,normalized_aurc,naurc_support,coverage,wrong_all,correct_all
scene,Ordered MLP,0.0,0.10--0.40,0.13150641025641024,0.0,0.13150641025641024
scene,Deep Sets,0.0,0.10--0.40,0.1301923076923077,0.0,0.1301923076923077
scene,Set Transformer,0.0,0.10--0.40,0.13282051282051283,0.0,0.13282051282051283
scene_and_configuration,Nested evidential composition,0.10927627375909556,0.10--0.35,0.15596153846153846,0.0021153846153846153,0.15384615384615385
scene_and_configuration,Set Transformer,0.5578592231263529,0.10--0.35,0.09724358974358974,0.05259615384615385,0.044647435897435896
