method,score,subset,verifier,csaurc_0p10_0p39,coverage_at_target_0p13,wrong_all_at_target_0p13,correct_all_at_target_0p13
registered_lineage_pooling,native,all,False,0.8125327373072897,0.12987179487179487,0.12400641025641025,0.005865384615384615
registered_lineage_pooling,posterior_peak,all,False,0.8125327373072897,0.12987179487179487,0.12400641025641025,0.005865384615384615
registered_lineage_pooling,top_two_margin,all,False,0.8064734907462827,0.13016025641025641,0.12352564102564102,0.006634615384615385
registered_lineage_pooling,inverse_normalized_entropy,all,False,0.8256215582470559,0.13006410256410256,0.12483974358974359,0.005224358974358975
registered_lineage_pooling,shared_outer_train_logistic,all,False,0.37106748832286374,0.13080128205128205,0.04384615384615385,0.0869551282051282
hierarchical_cautious_cumulative,native,all,False,0.8597383184173139,0.12980769230769232,0.12557692307692309,0.004230769230769231
hierarchical_cautious_cumulative,posterior_peak,all,False,0.7869593172175243,0.12996794871794873,0.1230448717948718,0.006923076923076923
hierarchical_cautious_cumulative,top_two_margin,all,False,0.7839829921849003,0.12993589743589742,0.12314102564102564,0.006794871794871795
hierarchical_cautious_cumulative,inverse_normalized_entropy,all,False,0.7943467549067271,0.1298397435897436,0.12298076923076923,0.006858974358974359
hierarchical_cautious_cumulative,shared_outer_train_logistic,all,False,0.46589201848292194,0.13016025641025641,0.05772435897435897,0.07243589743589744
