method,native,peak,margin,entropy,shared
registered_lineage_pooling,0.8125327373072897,0.8125327373072897,0.8064734907462827,0.8256215582470559,0.37106748832286374
hierarchical_cautious_cumulative,0.8597383184173139,0.7869593172175243,0.7839829921849003,0.7943467549067271,0.46589201848292194
