method,ncsaurc_0p10_0p39,bootstrap_mean,ci_low,ci_high,coverage_at_0p13,wrong_all_at_0p13,correct_all_at_0p13,aggregate_evidence_budget,mean_selection_score,accuracy,nll,brier,ece10
pact_meet,0.6294374684440601,0.6291341270217558,0.6223739228164771,0.6359093015704207,0.1305448717948718,0.10147435897435897,0.02907051282051282,148914.27727553612,0.4106463876589636,0.3689423076923077,1.6734748098111971,0.8436428188810299,0.24543656644432785
pact_join,0.7917538710731552,0.7917426684727076,0.7849670116476237,0.797898443061964,0.13016025641025641,0.1189423076923077,0.011217948717948718,201621.55946693325,0.4736137363703546,0.3528846153846154,1.749595557854423,0.8563056303512026,0.19270829364199843
