multiplicity,arm,support,ncsaurc,raw_partial_aurc,bootstrap_mean,ci_low,ci_high,coverage_at_0p13,wrong_all_at_0p13,correct_all_at_0p13,aggregate_budget_ratio_vs_m1,posterior_l1_drift_mean_vs_m1,posterior_l1_drift_max_vs_m1,registered_components
1,registered,primary_0.10_0.39,0.3891164502870042,0.11284377058323124,0.3891499515139218,0.3877770436048288,0.39062929783244604,0.1303525641025641,0.07692307692307693,0.05342948717948718,1.0,0.0,0.0,2
1,singleton,primary_0.10_0.39,0.41346387685055297,0.11990452428666037,0.4135358259650811,0.4109792333411823,0.4161510326452397,0.13003205128205128,0.07692307692307693,0.05310897435897436,1.0,0.0,0.0,3
1,all_merge,primary_0.10_0.39,0.5883185126844976,0.17061236867850435,0.5883025306654369,0.5817708952749614,0.5951311315341288,0.1301923076923077,0.09490384615384616,0.03528846153846154,1.0,0.0,0.0,1
1,registered,fixed_0.10_0.35,0.40408157531738165,0.1010203938293454,0.40411657837277287,0.40283941186685074,0.4054413315101629,0.1303525641025641,0.07692307692307693,0.05342948717948718,1.0,0.0,0.0,2
1,singleton,fixed_0.10_0.35,0.42013186340465664,0.10503296585116415,0.42019902837607903,0.4186657174947062,0.421783532220081,0.13003205128205128,0.07692307692307693,0.05310897435897436,1.0,0.0,0.0,3
1,all_merge,fixed_0.10_0.35,0.5986949318719715,0.14967373296799286,0.5986611762757575,0.5913273291925544,0.6063316640537594,0.1301923076923077,0.09490384615384616,0.03528846153846154,1.0,0.0,0.0,1
2,registered,primary_0.10_0.39,0.3891164502870042,0.11284377058323124,0.3891151260997673,0.38777622480961144,0.3904897397688338,0.1303525641025641,0.07692307692307693,0.05342948717948718,1.0,0.0,0.0,2
2,singleton,primary_0.10_0.39,0.4843576184141343,0.14046370934009897,0.4844127577222867,0.4824715034004656,0.48631986680229633,0.1298397435897436,0.07692307692307693,0.05291666666666667,1.313966719493935,0.08253421996239009,0.2934188995807993,4
2,all_merge,primary_0.10_0.39,0.5883185126844976,0.17061236867850435,0.588248216820253,0.5817446828617656,0.5951707052355738,0.1301923076923077,0.09490384615384616,0.03528846153846154,1.0,0.0,0.0,1
2,registered,fixed_0.10_0.35,0.40408157531738165,0.1010203938293454,0.4040803158212061,0.4027604584844407,0.4053785357902041,0.1303525641025641,0.07692307692307693,0.05342948717948718,1.0,0.0,0.0,2
2,singleton,fixed_0.10_0.35,0.4759829025599835,0.11899572563999586,0.47602399942276225,0.4753740751521058,0.4767796256247639,0.1298397435897436,0.07692307692307693,0.05291666666666667,1.313966719493935,0.08253421996239009,0.2934188995807993,4
2,all_merge,fixed_0.10_0.35,0.5986949318719715,0.14967373296799286,0.5986118450807962,0.5913079799026775,0.6064028520532068,0.1301923076923077,0.09490384615384616,0.03528846153846154,1.0,0.0,0.0,1
