contrast,point,bootstrap_mean,ci_low,ci_high,fraction_above_zero,aggregate_budget_ratio,mean_posterior_l1,prediction_flip_rate,mean_absolute_score_shift
wrong_LG_R_minus_registered_L_GR,0.19880837906032967,0.19890802743157418,0.18614431441663812,0.21070259358283858,1.0,0.8028911962665626,0.31768810480514925,0.5354166666666667,0.0915594208147148
wrong_LR_G_minus_registered_L_GR,0.20127650787455498,0.20110989049670988,0.18459475961316119,0.21876793909713893,1.0,0.7780882553872452,0.3108546727350941,0.513974358974359,0.05871960554581279
singleton_L_G_R_minus_registered_L_GR,0.1925552984771739,0.192649535183679,0.18797426394597092,0.1975624113013668,1.0,1.8267311733813316,0.1824203293586937,0.18503205128205127,0.14127626169557442
