method,common_eligible_records,eligible_random_reference,random_reference_bootstrap_mean,random_reference_ci_low,random_reference_ci_high,native_ncsaurc_0p10_0p39,native_minus_random
product_evidence_fusion,28800,0.6894791666666666,0.6894764930555555,0.6851024305555555,0.6936111111111111,0.7634827583807662,0.07400359171409954
nested_evidential_composition,28800,0.6904513888888889,0.6904345833333334,0.6859375,0.6946180555555556,0.7749081595237832,0.08445677063489432
cautious_evidence_fusion,28800,0.7147916666666667,0.7147959722222222,0.7129861111111111,0.7165625,0.7806420395741257,0.06585037290745899
pcecf,28800,0.6169791666666666,0.6169847916666668,0.6161805555555555,0.6177083333333333,0.6294374684440601,0.012458301777393488
