arm,partition,component_count,ncsaurc_0p10_0p39,bootstrap_mean,ci_low,ci_high,eligible_random_reference,ncsaurc_minus_random,coverage_at_0p13,wrong_all_at_0p13,aggregate_evidence_budget,mean_selection_score,accuracy,nll,brier,ece10
registered_L_GR,language | geometry+risk,2,0.6294374684440601,0.6292999525980075,0.6222658881504379,0.6357256389830805,0.6169791666666666,0.012458301777393488,0.1305448717948718,0.10147435897435897,148914.27727553612,0.4106463876589636,0.3689423076923077,1.6734748098111971,0.8436428188810299,0.24543656644432785
wrong_LG_R,language+geometry | risk,2,0.8282458475043898,0.8282079800295816,0.8189860937363111,0.8366502590059672,0.8393402777777778,-0.011094430273387967,0.13022435897435897,0.11673076923076924,119561.9622229258,0.3721343032524935,0.16368589743589743,1.7398397366762377,0.8727741318416657,0.1511922637976683
wrong_LR_G,language+risk | geometry,2,0.8307139763186151,0.8304098430947174,0.8175751779873174,0.8441629462879877,0.7523958333333334,0.07831814298528172,0.13016025641025641,0.11782051282051283,115868.4502075744,0.366534763674742,0.24394230769230768,1.7180345913073825,0.8627709250719942,0.12881542012927638
singleton_L_G_R,language | geometry | risk,3,0.821992766921234,0.8219494877816865,0.8157132523132619,0.8274769799919416,0.6925347222222222,0.1294580446990118,0.1298397435897436,0.1296153846153846,272026.3524607731,0.5519226493545379,0.29919871794871794,1.765370741449367,0.8627733380672905,0.09183218021172762
