arm,eligible_random_reference,bootstrap_mean,ci_low,ci_high,ncsaurc_minus_random_point,excess_bootstrap_mean,excess_ci_low,excess_ci_high,fraction_excess_above_zero
registered_L_GR,0.6169791666666666,0.6169619270833334,0.6161805555555555,0.6177083333333333,0.012458301777393488,0.01233802551467421,0.005307995999201812,0.018806381872327534,0.999
wrong_LG_R,0.8393402777777778,0.8393348611111112,0.8349296875,0.8437847222222222,-0.011094430273387967,-0.011126881081529398,-0.018415183002935386,-0.005230137574538396,0.0005
wrong_LR_G,0.7523958333333334,0.7524588194444445,0.7445130208333334,0.7604175347222222,0.07831814298528172,0.07795102365027297,0.06791954069170092,0.08704582957279228,1.0
singleton_L_G_R,0.6925347222222222,0.6925111284722223,0.6880894097222222,0.6970503472222223,0.1294580446990118,0.12943835930946432,0.11964263366968197,0.13835604700258175,1.0
