multiplicity,contrast,point,bootstrap_mean,ci_low,ci_high,fraction_above_zero
1,pact_registered_minus_nested_unaware,0.2693444275261194,0.2693996653658194,0.26189792996032335,0.2766115792809634,1.0
1,pact_singleton_minus_pact_registered,-0.21963168798164273,-0.21969972783076913,-0.22742983420974164,-0.21125349587876716,0.0
2,pact_registered_minus_nested_unaware,-0.05289585853420031,-0.052993714414290904,-0.06782698792483376,-0.03854304987159426,0.0
2,pact_singleton_minus_pact_registered,0.05465963483473257,0.05454751186352165,0.04093598706711784,0.06795989396054612,1.0
4,pact_registered_minus_nested_unaware,-0.20784135320360098,-0.20774866957401672,-0.2236354406978491,-0.19266550540824864,0.0
4,pact_singleton_minus_pact_registered,0.16552175874114805,0.16560828861225,0.14961168265169197,0.1826783873690747,1.0
8,pact_registered_minus_nested_unaware,-0.2542985289427331,-0.2548109219604842,-0.2656869174282513,-0.24318809297762975,0.0
8,pact_singleton_minus_pact_registered,0.2780036152364941,0.27871344293178374,0.26284063551033177,0.29297929414222273,1.0
16,pact_registered_minus_nested_unaware,-0.24724028387523544,-0.24751423914626225,-0.2610544603954357,-0.23432360512361286,0.0
16,pact_singleton_minus_pact_registered,0.2859799065399268,0.2861833135371578,0.2711749761726192,0.3009955080451197,1.0
32,pact_registered_minus_nested_unaware,-0.24349047516591438,-0.24388051931703061,-0.2599438951768888,-0.22828862875812111,0.0
32,pact_singleton_minus_pact_registered,0.2842993689558242,0.28450359144008,0.26910366692008575,0.29961645998027864,1.0
