setting_id,language_pmax,dirichlet_kappa,quality_multiplier,conflict_multiplier,occlusion_strength,pair_id,records,dirichlet_projection_fallbacks,nested_naurc,registered_naurc,naurc_gain,ranking_preserved,nested_coverage,nested_wrong_all,nested_wrong_admitted,nested_correct_all,nested_clean_coverage,registered_coverage,registered_wrong_all,registered_wrong_admitted,registered_correct_all,registered_clean_coverage,copy_mass_max_abs_drift,unoccluded_clean_runtime_sha256,nested_clean_none_coverage,nested_clean_none_correct_all,nested_clean_none_wrong_all,nested_clean_partial_coverage,nested_clean_partial_correct_all,nested_clean_partial_wrong_all
10000,0.75,200.0,0.9135304350405932,0.8567985232919455,0.5,0,31200,0,0.11646352050856475,0.20874931655699827,0.09228579604843352,True,0.13115384615384615,0.0004487179487179487,0.003421309872922776,0.1307051282051282,0.90625,0.13137820512820514,0.011923076923076923,0.09075384240058551,0.1194551282051282,0.7129166666666666,1.4210854715202004e-14,1455819235185901a1cf5466d37bb68374a11e33542df7732cca9420dcd1331c,0.9383333333333334,0.9358333333333333,0.0025,0.8741666666666666,0.8683333333333333,0.005833333333333334
10000,0.75,200.0,0.9135304350405932,0.8567985232919455,1.0,0,31200,0,0.11591058051142054,0.20314232576779867,0.08723174525637813,True,0.1308974358974359,0.000608974358974359,0.00465230166503428,0.13028846153846155,0.8645833333333334,0.1308974358974359,0.010769230769230769,0.08227228207639568,0.12012820512820513,0.7533333333333333,1.4210854715202004e-14,1455819235185901a1cf5466d37bb68374a11e33542df7732cca9420dcd1331c,0.9691666666666666,0.9641666666666666,0.005,0.76,0.7541666666666667,0.005833333333333334
10000,0.75,200.0,0.9135304350405932,0.8567985232919455,1.5,0,31200,0,0.11263349226494357,0.21082759918114835,0.09819410691620478,True,0.13141025641025642,0.000576923076923077,0.004390243902439025,0.13083333333333333,0.8254166666666667,0.13125,0.01092948717948718,0.08327228327228327,0.12032051282051281,0.7416666666666667,1.4210854715202004e-14,1455819235185901a1cf5466d37bb68374a11e33542df7732cca9420dcd1331c,0.9891666666666666,0.9833333333333333,0.005833333333333334,0.6616666666666666,0.66,0.0016666666666666668
10001,0.9,50.0,1.0476385753601791,1.0848578069359065,0.5,1,31200,0,0.12093543019765392,0.2087537314144695,0.0878183012168156,True,0.13131410256410256,0.0001923076923076923,0.001464486209421528,0.13112179487179487,0.8945833333333333,0.13099358974358974,0.010480769230769231,0.08000978712992415,0.12051282051282051,0.7429166666666667,1.4210854715202004e-14,d566f5ef6fba6b64c822045a3e98f10af809412f2d8e05f48011bcb85d625a3d,0.9291666666666667,0.9283333333333333,0.0008333333333333334,0.86,0.86,0.0
10001,0.9,50.0,1.0476385753601791,1.0848578069359065,1.0,1,31200,0,0.12013163309235675,0.2094911652913705,0.08935953219901374,True,0.13105769230769232,0.0002564102564102564,0.0019564685742235266,0.13080128205128205,0.8479166666666667,0.13080128205128205,0.010320512820512821,0.07890222984562607,0.12048076923076922,0.7570833333333333,1.4210854715202004e-14,d566f5ef6fba6b64c822045a3e98f10af809412f2d8e05f48011bcb85d625a3d,0.9616666666666667,0.9608333333333333,0.0008333333333333334,0.7341666666666666,0.7341666666666666,0.0
10001,0.9,50.0,1.0476385753601791,1.0848578069359065,1.5,1,31200,0,0.1165015674212145,0.20832105569042708,0.09181948826921259,True,0.13118589743589743,0.00022435897435897436,0.0017102369899828977,0.13096153846153846,0.8016666666666666,0.13112179487179487,0.010416666666666666,0.07944267905157663,0.1207051282051282,0.76375,1.4210854715202004e-14,d566f5ef6fba6b64c822045a3e98f10af809412f2d8e05f48011bcb85d625a3d,0.9791666666666666,0.9783333333333334,0.0008333333333333334,0.6241666666666666,0.6241666666666666,0.0
10002,0.85,100.0,0.8489694517105818,0.9357298135757447,0.5,2,31200,0,0.11409386845146831,0.20134221496488067,0.08724834651341236,True,0.13134615384615383,9.615384615384615e-05,0.0007320644216691069,0.13125,0.9004166666666666,0.13096153846153846,0.010673076923076922,0.08149779735682819,0.12028846153846154,0.7533333333333333,1.4210854715202004e-14,07c3d0bfacdc16e1e25c0be71a54b6f21cb5924378a139e04cd62a376347b0ac,0.9275,0.9275,0.0,0.8733333333333333,0.8733333333333333,0.0
10002,0.85,100.0,0.8489694517105818,0.9357298135757447,1.0,2,31200,0,0.11323554829813551,0.19976955139828909,0.08653400310015358,True,0.13096153846153846,0.00022435897435897436,0.0017131669114047968,0.1307371794871795,0.8525,0.13118589743589743,0.010608974358974359,0.0808697776691913,0.12057692307692308,0.75875,1.4210854715202004e-14,07c3d0bfacdc16e1e25c0be71a54b6f21cb5924378a139e04cd62a376347b0ac,0.9591666666666666,0.9591666666666666,0.0,0.7458333333333333,0.7458333333333333,0.0
10002,0.85,100.0,0.8489694517105818,0.9357298135757447,1.5,2,31200,0,0.11140011322782624,0.2026113760280868,0.09121126280026055,True,0.13099358974358974,0.0002884615384615385,0.002202104232933692,0.1307051282051282,0.8141666666666667,0.13147435897435897,0.01064102564102564,0.08093612871769869,0.12083333333333333,0.7679166666666667,1.4210854715202004e-14,07c3d0bfacdc16e1e25c0be71a54b6f21cb5924378a139e04cd62a376347b0ac,0.9841666666666666,0.9841666666666666,0.0,0.6441666666666667,0.6441666666666667,0.0
10003,0.65,50.0,1.1148616451770068,1.1074904881417753,0.5,3,31200,0,0.18457814349744137,0.2751671475233986,0.09058900402595724,True,0.13076923076923078,0.009262820512820513,0.07083333333333333,0.12150641025641026,0.8895833333333333,0.1310897435897436,0.02548076923076923,0.19437652811735942,0.10560897435897436,0.5954166666666667,1.4210854715202004e-14,55f75fa8afa767f0cee42bdb47a30d8b548d6b7d8c96bc6bcbc70a907cc800a4,0.9366666666666666,0.8683333333333333,0.06833333333333333,0.8425,0.7741666666666667,0.06833333333333333
