occlusion_strength,settings,partial_clean_coverage_mean,partial_clean_coverage_median,partial_clean_wrong_all_max,unoccluded_clean_coverage_mean,nested_naurc_mean,ranking_preservation_rate
0.5,64,0.8580208333333333,0.8591666666666666,0.09583333333333334,0.9320052083333333,0.12838722419656298,1.0
1.0,64,0.7351953124999999,0.7358333333333333,0.0875,0.9663671875,0.1301060574264401,1.0
1.5,64,0.6247265625,0.6216666666666666,0.055,0.9860416666666667,0.12676503978015932,1.0
