model,method,sid,records,admitted,correct_admitted,wrong_admitted,coverage,correct_all,wrong_all,ready_factual_recall
internvl3_8b,target_identity,S7414,120,3,3,0,0.025,0.025,0.0,0.3
internvl3_8b,target_identity,S7788,120,16,10,6,0.13333333333333333,0.08333333333333333,0.05,1.0
internvl3_8b,target_identity,S8940,120,0,0,0,0.0,0.0,0.0,0.0
internvl3_8b,target_identity,S8975,120,19,9,10,0.15833333333333333,0.075,0.08333333333333333,0.9
internvl3_8b,event_proximity,S6759,120,2,2,0,0.016666666666666666,0.016666666666666666,0.0,0.2
internvl3_8b,event_proximity,S7025,120,18,3,15,0.15,0.025,0.125,0.3
internvl3_8b,event_proximity,S7414,120,14,3,11,0.11666666666666667,0.025,0.09166666666666666,0.3
internvl3_8b,event_proximity,S7788,120,22,7,15,0.18333333333333332,0.058333333333333334,0.125,0.7
internvl3_8b,event_proximity,S8940,120,2,0,2,0.016666666666666666,0.0,0.016666666666666666,0.0
internvl3_8b,event_proximity,S8975,120,14,9,5,0.11666666666666667,0.075,0.041666666666666664,0.9
internvl3_8b,combined,S6759,120,2,2,0,0.016666666666666666,0.016666666666666666,0.0,0.2
internvl3_8b,combined,S7025,120,3,3,0,0.025,0.025,0.0,0.3
internvl3_8b,combined,S7414,120,3,3,0,0.025,0.025,0.0,0.3
internvl3_8b,combined,S7788,120,8,7,1,0.06666666666666667,0.058333333333333334,0.008333333333333333,0.7
internvl3_8b,combined,S8940,120,0,0,0,0.0,0.0,0.0,0.0
internvl3_8b,combined,S8975,120,9,9,0,0.075,0.075,0.0,0.9
