multiplicity,contrast,point,bootstrap_mean,ci_low,ci_high,fraction_above_zero
1,pact_registered_minus_nested_unaware,0.1724508480362137,0.17257705143405053,0.16605698589859014,0.17907931577459416,1.0
1,pact_singleton_minus_pact_registered,-0.11246164287831872,-0.11271520579534035,-0.12183007029601217,-0.10434788844830266,0.0
2,pact_registered_minus_nested_unaware,0.12933776985163903,0.12885093890137564,0.11446675509039339,0.1425723054078688,1.0
2,pact_singleton_minus_pact_registered,-0.09075021058898403,-0.09063797214575413,-0.10207317602059819,-0.08026107816302978,0.0
4,pact_registered_minus_nested_unaware,-0.06716856786406167,-0.06706947150928502,-0.07489791822841663,-0.05919438751015854,0.0
4,pact_singleton_minus_pact_registered,0.08728363606344614,0.0872836834970536,0.0795459661058679,0.09475065908723952,1.0
8,pact_registered_minus_nested_unaware,-0.09681956231456734,-0.09670467410776606,-0.10178398536274531,-0.09154338990363099,0.0
8,pact_singleton_minus_pact_registered,0.15504113702838918,0.1552296212990787,0.1472749405650015,0.16259514539706352,1.0
16,pact_registered_minus_nested_unaware,-0.07544998793496782,-0.07548443445723757,-0.08534106570193847,-0.06639730256576597,0.0
16,pact_singleton_minus_pact_registered,0.15363847398864328,0.15358258996719434,0.14545356838234835,0.16145809889611784,1.0
32,pact_registered_minus_nested_unaware,-0.02840965058716516,-0.02899146238862602,-0.04290334051151904,-0.015083873309730012,0.0
32,pact_singleton_minus_pact_registered,0.1253527022186588,0.12566923996349075,0.11647320588018549,0.1346293691882825,1.0
