pair_id,score,edge_id,fine_partition,coarse_partition,fine_components,coarse_components,merged_blocks,mean_budget_delta,ncsAURC_delta,direction
HandWritten-Mfeat__TMC,native_nonvacuity,E045,P022,P016,3,2,0+2,-0.9038045570505202,0.11509826879516646,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E046,P022,P019,3,2,1+2,-0.9476160598491552,0.05345649927842895,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E047,P023,P003,3,2,0+1,-5.21176691944231,0.17736225543642262,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E048,P023,P015,3,2,0+2,-0.5863040295086668,-0.00019312371123682195,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E049,P023,P019,3,2,1+2,-5.4452923391292565,0.1120347383107499,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E050,P024,P004,4,3,0+1,-5.21176691944231,0.14737685811672943,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E051,P024,P017,4,3,0+2,-0.9038045570505195,0.0009118184354160431,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E052,P024,P020,4,3,1+2,-5.5231765499404855,0.10709232695489174,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E053,P024,P021,4,3,0+3,-1.3258778615624163,0.0005079921611863361,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E054,P024,P022,4,3,1+3,-6.035936104806838,0.060066628296146084,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E055,P024,P023,4,3,2+3,-1.5382598255267368,0.0014883892638251277,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E056,P025,P000,2,1,0+1,-0.6340326631181634,0.38363507689352805,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E057,P026,P000,2,1,0+1,-0.27432028115314844,0.3891878363210415,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E058,P027,P001,3,2,0+1,-0.6446560048042558,0.40508388485018526,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E059,P027,P025,3,2,0+2,-1.2310296880083627,-0.027669470735924212,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E060,P027,P026,3,2,1+2,-1.5907420699733776,-0.03322223016343767,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E061,P028,P000,2,1,0+1,-0.2596533979656053,0.3831453612463923,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E062,P029,P000,2,1,0+1,-0.6176660085468431,0.3624609034891673,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E063,P030,P001,3,2,0+1,-0.6369265828583264,0.28602502503422567,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E064,P030,P028,3,2,0+2,-1.5976795312149914,-0.14623861490474813,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E065,P030,P029,3,2,1+2,-1.2396669206337536,-0.1255541571475231,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E066,P031,P002,3,2,0+1,-0.6707224247995294,0.08362599409695456,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E067,P031,P025,3,2,0+2,-0.8317793235603606,0.07621431635055709,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E068,P031,P028,3,2,1+2,-1.2061585887129187,0.07670403199769277,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E069,P032,P002,3,2,0+1,-0.6776598860411431,0.039856994364108764,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E070,P032,P026,3,2,0+2,-1.1984291667669893,0.026892557190197827,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E071,P032,P029,3,2,1+2,-0.8550834393732947,0.05361949002207199,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E072,P033,P003,3,2,0+1,-0.9439358292407815,0.11325158016203614,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E073,P033,P025,3,2,0+2,-0.8911990292486152,0.037053555640457606,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E074,P033,P029,3,2,1+2,-0.9075656838199355,0.05822772904481831,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E075,P034,P004,4,3,0+1,-0.9439358292407811,0.11376072820536917,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E076,P034,P027,4,3,0+2,-1.1984291667669889,0.09670596100323317,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E077,P034,P030,4,3,1+2,-1.2061585887129183,0.21576482081919277,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E078,P034,P031,4,3,0+3,-1.597679531214991,-0.007177826083248129,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E079,P034,P032,4,3,1+3,-1.5907420699733772,0.03659117364959768,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E080,P034,P033,4,3,2+3,-1.5382598255267363,0.03198293462685136,coarsening_worsens
