edge_id,fine_partition,coarse_partition,fine_components,coarse_components,merged_blocks
E637,P174,P166,4,3,1+3
E638,P174,P170,4,3,2+3
E639,P175,P033,4,3,0+1
E640,P175,P060,4,3,0+2
E641,P175,P107,4,3,1+2
E642,P175,P160,4,3,0+3
E643,P175,P165,4,3,1+3
E644,P175,P170,4,3,2+3
E645,P176,P034,5,4,0+1
E646,P176,P061,5,4,0+2
E647,P176,P108,5,4,1+2
E648,P176,P163,5,4,0+3
E649,P176,P167,5,4,1+3
E650,P176,P171,5,4,2+3
E651,P176,P172,5,4,0+4
E652,P176,P173,5,4,1+4
E653,P176,P174,5,4,2+4
E654,P176,P175,5,4,3+4
E655,P177,P035,4,3,0+1
E656,P177,P072,4,3,0+2
E657,P177,P109,4,3,1+2
E658,P177,P126,4,3,0+3
E659,P177,P143,4,3,1+3
E660,P177,P160,4,3,2+3
E661,P178,P035,4,3,0+1
E662,P178,P073,4,3,0+2
E663,P178,P110,4,3,1+2
E664,P178,P127,4,3,0+3
E665,P178,P144,4,3,1+3
E666,P178,P161,4,3,2+3
E667,P179,P036,4,3,0+1
E668,P179,P072,4,3,0+2
E669,P179,P110,4,3,1+2
E670,P179,P128,4,3,0+3
E671,P179,P145,4,3,1+3
E672,P179,P162,4,3,2+3
E673,P180,P037,4,3,0+1
E674,P180,P074,4,3,0+2
E675,P180,P111,4,3,1+2
E676,P180,P126,4,3,0+3
E677,P180,P144,4,3,1+3
E678,P180,P162,4,3,2+3
E679,P181,P038,5,4,0+1
E680,P181,P075,5,4,0+2
E681,P181,P112,5,4,1+2
E682,P181,P129,5,4,0+3
E683,P181,P146,5,4,1+3
E684,P181,P163,5,4,2+3
E685,P181,P177,5,4,0+4
E686,P181,P178,5,4,1+4
E687,P181,P179,5,4,2+4
E688,P181,P180,5,4,3+4
E689,P182,P035,4,3,0+1
E690,P182,P076,4,3,0+2
E691,P182,P113,4,3,1+2
E692,P182,P130,4,3,0+3
E693,P182,P147,4,3,1+3
E694,P182,P164,4,3,2+3
E695,P183,P035,4,3,0+1
E696,P183,P077,4,3,0+2
E697,P183,P114,4,3,1+2
E698,P183,P131,4,3,0+3
E699,P183,P148,4,3,1+3
E700,P183,P165,4,3,2+3
E701,P184,P036,4,3,0+1
E702,P184,P076,4,3,0+2
E703,P184,P114,4,3,1+2
E704,P184,P132,4,3,0+3
E705,P184,P149,4,3,1+3
E706,P184,P166,4,3,2+3
E707,P185,P037,4,3,0+1
E708,P185,P078,4,3,0+2
E709,P185,P115,4,3,1+2
E710,P185,P130,4,3,0+3
E711,P185,P148,4,3,1+3
E712,P185,P166,4,3,2+3
E713,P186,P038,5,4,0+1
E714,P186,P079,5,4,0+2
E715,P186,P116,5,4,1+2
E716,P186,P133,5,4,0+3
E717,P186,P150,5,4,1+3
E718,P186,P167,5,4,2+3
E719,P186,P182,5,4,0+4
E720,P186,P183,5,4,1+4
E721,P186,P184,5,4,2+4
E722,P186,P185,5,4,3+4
E723,P187,P039,4,3,0+1
E724,P187,P072,4,3,0+2
E725,P187,P113,4,3,1+2
E726,P187,P134,4,3,0+3
E727,P187,P151,4,3,1+3
E728,P187,P168,4,3,2+3
E729,P188,P039,4,3,0+1
E730,P188,P073,4,3,0+2
E731,P188,P114,4,3,1+2
E732,P188,P135,4,3,0+3
E733,P188,P152,4,3,1+3
E734,P188,P169,4,3,2+3
E735,P189,P040,4,3,0+1
E736,P189,P072,4,3,0+2
E737,P189,P114,4,3,1+2
E738,P189,P136,4,3,0+3
E739,P189,P153,4,3,1+3
E740,P189,P170,4,3,2+3
E741,P190,P041,4,3,0+1
E742,P190,P074,4,3,0+2
E743,P190,P115,4,3,1+2
E744,P190,P134,4,3,0+3
E745,P190,P152,4,3,1+3
E746,P190,P170,4,3,2+3
E747,P191,P042,5,4,0+1
E748,P191,P075,5,4,0+2
E749,P191,P116,5,4,1+2
E750,P191,P137,5,4,0+3
E751,P191,P154,5,4,1+3
E752,P191,P171,5,4,2+3
E753,P191,P187,5,4,0+4
E754,P191,P188,5,4,1+4
E755,P191,P189,5,4,2+4
E756,P191,P190,5,4,3+4
E757,P192,P043,4,3,0+1
E758,P192,P080,4,3,0+2
E759,P192,P117,4,3,1+2
E760,P192,P126,4,3,0+3
E761,P192,P147,4,3,1+3
E762,P192,P168,4,3,2+3
E763,P193,P043,4,3,0+1
E764,P193,P081,4,3,0+2
E765,P193,P118,4,3,1+2
E766,P193,P127,4,3,0+3
E767,P193,P148,4,3,1+3
E768,P193,P169,4,3,2+3
E769,P194,P044,4,3,0+1
E770,P194,P080,4,3,0+2
E771,P194,P118,4,3,1+2
E772,P194,P128,4,3,0+3
E773,P194,P149,4,3,1+3
E774,P194,P170,4,3,2+3
E775,P195,P045,4,3,0+1
E776,P195,P082,4,3,0+2
E777,P195,P119,4,3,1+2
E778,P195,P126,4,3,0+3
E779,P195,P148,4,3,1+3
E780,P195,P170,4,3,2+3
E781,P196,P046,5,4,0+1
E782,P196,P083,5,4,0+2
E783,P196,P120,5,4,1+2
E784,P196,P129,5,4,0+3
E785,P196,P150,5,4,1+3
E786,P196,P171,5,4,2+3
E787,P196,P192,5,4,0+4
E788,P196,P193,5,4,1+4
E789,P196,P194,5,4,2+4
E790,P196,P195,5,4,3+4
E791,P197,P047,5,4,0+1
E792,P197,P084,5,4,0+2
E793,P197,P121,5,4,1+2
E794,P197,P138,5,4,0+3
E795,P197,P155,5,4,1+3
E796,P197,P172,5,4,2+3
E797,P197,P177,5,4,0+4
E798,P197,P182,5,4,1+4
E799,P197,P187,5,4,2+4
E800,P197,P192,5,4,3+4
E801,P198,P047,5,4,0+1
E802,P198,P085,5,4,0+2
E803,P198,P122,5,4,1+2
E804,P198,P139,5,4,0+3
E805,P198,P156,5,4,1+3
E806,P198,P173,5,4,2+3
E807,P198,P178,5,4,0+4
