pair_id,score,component_count,partitions,statistic,point,ci_low,ci_high,bootstrap_draws
HandWritten-Mfeat__RCML,native_nonvacuity,5,15,iqr,0.0002943011310037024,0.0,0.0007451916028242227,2000
HandWritten-Mfeat__RCML,native_nonvacuity,5,15,range,0.00043622899978728306,0.0,0.00165681036796376,2000
HandWritten-Mfeat__RCML,native_nonvacuity,5,15,mad,0.00010685496128480659,0.0,0.00036462370764011893,2000
HandWritten-Mfeat__RCML,native_nonvacuity,6,1,iqr,0.0,0.0,0.0,2000
HandWritten-Mfeat__RCML,native_nonvacuity,6,1,range,0.0,0.0,0.0,2000
HandWritten-Mfeat__RCML,native_nonvacuity,6,1,mad,0.0,0.0,0.0,2000
HandWritten-Mfeat__RCML,posterior_confidence,1,1,iqr,0.0,0.0,0.0,2000
HandWritten-Mfeat__RCML,posterior_confidence,1,1,range,0.0,0.0,0.0,2000
HandWritten-Mfeat__RCML,posterior_confidence,1,1,mad,0.0,0.0,0.0,2000
HandWritten-Mfeat__RCML,posterior_confidence,2,31,iqr,0.0024536364409531463,0.0012952687550016285,0.0047121529533665435,2000
HandWritten-Mfeat__RCML,posterior_confidence,2,31,range,0.03651486713286689,0.027043066532350356,0.05068212495453845,2000
HandWritten-Mfeat__RCML,posterior_confidence,2,31,mad,0.0012441699456261673,0.0006067666127782392,0.0024151675062560845,2000
HandWritten-Mfeat__RCML,posterior_confidence,3,90,iqr,0.001398248869378546,0.0004609647242347049,0.0026929326307966782,2000
HandWritten-Mfeat__RCML,posterior_confidence,3,90,range,0.01393365316995705,0.008569975238863882,0.020813577868722243,2000
HandWritten-Mfeat__RCML,posterior_confidence,3,90,mad,2.3112343353787854e-05,0.0,0.00020037249104557203,2000
HandWritten-Mfeat__RCML,posterior_confidence,4,65,iqr,0.0,0.0,1.48259847516974e-05,2000
HandWritten-Mfeat__RCML,posterior_confidence,4,65,range,0.0005088593140806262,8.688604288996371e-07,0.0015691015008990317,2000
HandWritten-Mfeat__RCML,posterior_confidence,4,65,mad,0.0,0.0,0.0,2000
HandWritten-Mfeat__RCML,posterior_confidence,5,15,iqr,0.0,0.0,0.0,2000
HandWritten-Mfeat__RCML,posterior_confidence,5,15,range,0.0,0.0,0.0,2000
HandWritten-Mfeat__RCML,posterior_confidence,5,15,mad,0.0,0.0,0.0,2000
HandWritten-Mfeat__RCML,posterior_confidence,6,1,iqr,0.0,0.0,0.0,2000
HandWritten-Mfeat__RCML,posterior_confidence,6,1,range,0.0,0.0,0.0,2000
HandWritten-Mfeat__RCML,posterior_confidence,6,1,mad,0.0,0.0,0.0,2000
