method,subset,n,accuracy,macro_f1,nll,brier,ece10
product_evidence_fusion,all,31200,0.30201923076923076,0.2995642053566422,2.718920944072472,0.9902834915416993,0.2778016979429364
product_evidence_fusion,complete,19200,0.37296875,0.3726216199916769,3.095296986316366,0.9851595448772489,0.32843354215901666
nested_evidential_composition,all,31200,0.30112179487179486,0.29872992868456194,1.8146159096109664,0.8788120018030254,0.09442561635258369
nested_evidential_composition,complete,19200,0.37453125,0.3741334100972161,1.883757918224228,0.8953808158450427,0.17235322073145104
cautious_evidence_fusion,all,31200,0.27865384615384614,0.27668016693221564,2.0973567289067714,0.9573745598568283,0.23914185201582505
cautious_evidence_fusion,complete,19200,0.35203125,0.35128552086280723,2.145016448694711,0.9409500751858885,0.27388017045977436
pcecf,all,31200,0.3689423076923077,0.36839307735424676,1.6734748098111971,0.8436428188810299,0.24543656644432785
pcecf,complete,19200,0.4,0.4,1.647141833160813,0.8307976244748712,0.24124832071652225
