method,target_coverage,n,admitted,wrong,correct,coverage,wrong_all,wrong_admitted,correct_all
quality_weighted_fusion,0.13,31200.0,4059.0,331.0,3728.0,0.13009615384615383,0.010608974358974359,0.08154717910815472,0.11948717948717949
product_evidence_fusion,0.13,31200.0,4058.0,330.0,3728.0,0.13006410256410256,0.010576923076923078,0.08132084770823066,0.11948717948717949
nested_evidential_composition,0.13,31200.0,4062.0,0.0,4062.0,0.1301923076923077,0.0,0.0,0.1301923076923077
cautious_evidence_fusion,0.13,31200.0,4047.0,304.0,3743.0,0.12971153846153846,0.009743589743589744,0.07511737089201878,0.11996794871794872
lineage_unaware_pooling,0.13,31200.0,4059.0,331.0,3728.0,0.13009615384615383,0.010608974358974359,0.08154717910815472,0.11948717948717949
registered_lineage_pooling,0.13,31200.0,4050.0,331.0,3719.0,0.12980769230769232,0.010608974358974359,0.0817283950617284,0.11919871794871795
