method,target_coverage,n,admitted,wrong,correct,coverage,wrong_all,wrong_admitted,correct_all
cautious_evidence_fusion,0.06,31200.0,1863.0,192.0,1671.0,0.05971153846153846,0.006153846153846154,0.10305958132045089,0.053557692307692306
cautious_evidence_fusion,0.07,31200.0,2183.0,219.0,1964.0,0.06996794871794872,0.007019230769230769,0.10032065964269354,0.06294871794871795
cautious_evidence_fusion,0.08,31200.0,2490.0,245.0,2245.0,0.0798076923076923,0.007852564102564102,0.09839357429718876,0.0719551282051282
cautious_evidence_fusion,0.09,31200.0,2810.0,258.0,2552.0,0.09006410256410256,0.00826923076923077,0.09181494661921709,0.0817948717948718
cautious_evidence_fusion,0.1,31200.0,3115.0,276.0,2839.0,0.0998397435897436,0.008846153846153846,0.0886035313001605,0.09099358974358975
cautious_evidence_fusion,0.11,31200.0,3424.0,282.0,3142.0,0.10974358974358975,0.009038461538461539,0.08235981308411215,0.10070512820512821
cautious_evidence_fusion,0.12,31200.0,3746.0,295.0,3451.0,0.12006410256410256,0.009455128205128204,0.0787506673785371,0.11060897435897436
cautious_evidence_fusion,0.13,31200.0,4047.0,304.0,3743.0,0.12971153846153846,0.009743589743589744,0.07511737089201878,0.11996794871794872
cautious_evidence_fusion,0.14,31200.0,4370.0,313.0,4057.0,0.14006410256410257,0.010032051282051282,0.07162471395881007,0.13003205128205128
cautious_evidence_fusion,0.15,31200.0,4670.0,321.0,4349.0,0.14967948717948718,0.010288461538461538,0.06873661670235547,0.13939102564102565
cautious_evidence_fusion,0.16,31200.0,4988.0,329.0,4659.0,0.15987179487179487,0.010544871794871794,0.06595829991980753,0.14932692307692308
cautious_evidence_fusion,0.17,31200.0,5305.0,466.0,4839.0,0.1700320512820513,0.014935897435897436,0.08784165881244109,0.15509615384615386
