stratum,support,cell,ncsAURC,bootstrap_mean,ci_low,ci_high
all_records,primary_0.10_0.39,F0_singleton:V0_no_provenance,0.41346387685055297,0.4135145299976049,0.4110330561130201,0.41610435813405466
all_records,primary_0.10_0.39,F0_singleton:V1_full,0.1521145648367512,0.15216986988274708,0.14594937436389838,0.1582680363203044
all_records,primary_0.10_0.39,F1_registered:V0_no_provenance,0.3891164502870042,0.38910687458737114,0.3877188260211574,0.3905344505031788
all_records,primary_0.10_0.39,F1_registered:V1_full,0.08612194505919865,0.08610788464211819,0.08367185579161963,0.08859923450569497
all_records,fixed_0.10_0.35,F0_singleton:V0_no_provenance,0.42013186340465664,0.420180481462586,0.41873292794964584,0.4217525589565804
all_records,fixed_0.10_0.35,F0_singleton:V1_full,0.12080664354353003,0.12087906395874586,0.11541619104283522,0.12634486581651685
all_records,fixed_0.10_0.35,F1_registered:V0_no_provenance,0.40408157531738165,0.40407437491703296,0.40272409118055075,0.4053922748397937
all_records,fixed_0.10_0.35,F1_registered:V1_full,0.06636584850608372,0.06634908787919798,0.0638094640845273,0.06894023300594154
complete_records,primary_0.10_0.39,F0_singleton:V0_no_provenance,0.5214323931012473,0.5214798463383116,0.520744799452922,0.5221584269363813
complete_records,primary_0.10_0.39,F0_singleton:V1_full,0.042618876814620545,0.04263534963055316,0.04045495099651835,0.044856430202097654
complete_records,primary_0.10_0.39,F1_registered:V0_no_provenance,0.518906562765302,0.5189624184541755,0.5183595669785965,0.5194910715033363
complete_records,primary_0.10_0.39,F1_registered:V1_full,0.015065003745361032,0.01506705306374677,0.0150308961214565,0.015106302327622381
complete_records,fixed_0.10_0.35,F0_singleton:V0_no_provenance,0.5539690565302487,0.5540112330273788,0.5533799974703758,0.554612891254811
complete_records,fixed_0.10_0.35,F0_singleton:V1_full,0.02334714665945673,0.023365271266632362,0.02156440989721839,0.025208134462620657
complete_records,fixed_0.10_0.35,F1_registered:V0_no_provenance,0.553803889467513,0.5538500546665253,0.5531845539908552,0.5545052045295369
complete_records,fixed_0.10_0.35,F1_registered:V1_full,0.0017918795818618527,0.0017906665385238557,0.0017676714238506514,0.001815019652114572
