stratum,support,cell,score,verifier,records,coverage_low,coverage_high,curve_points,exact_right_step_naurc,exact_trapezoidal_naurc,wrong_all_at_low,wrong_all_at_high,correct_all_at_low,correct_all_at_high,selection_uses_labels
all_records,primary_0.10_0.39,F0_singleton:V0_no_provenance,native,True,31200,0.1,0.39,9049,0.4130224237831366,0.4130431647607613,0.07692307692307693,0.15362179487179486,0.023076923076923078,0.23637820512820512,False
all_records,primary_0.10_0.39,F0_singleton:V1_full,native,True,31200,0.1,0.39,9049,0.15206372701625517,0.15204291791630406,0.0,0.14685897435897435,0.1,0.24314102564102563,False
all_records,primary_0.10_0.39,F1_registered:V0_no_provenance,native,True,31200,0.1,0.39,9049,0.38855245362907403,0.3885778814227506,0.07692307692307693,0.12054487179487179,0.023076923076923078,0.2694551282051282,False
all_records,primary_0.10_0.39,F1_registered:V1_full,native,True,31200,0.1,0.39,9049,0.08615003355109872,0.08613728559309725,0.0,0.08996794871794872,0.1,0.3000320512820513,False
all_records,fixed_0.10_0.35,F0_singleton:V0_no_provenance,native,True,31200,0.1,0.35,7801,0.41974375553383575,0.4197707467050577,0.07692307692307693,0.12185897435897436,0.023076923076923078,0.22814102564102565,False
all_records,fixed_0.10_0.35,F0_singleton:V1_full,native,True,31200,0.1,0.35,7801,0.1207374226203248,0.12071711173462932,0.0,0.11089743589743589,0.1,0.2391025641025641,False
all_records,fixed_0.10_0.35,F1_registered:V0_no_provenance,native,True,31200,0.1,0.35,7801,0.4036368594499515,0.40366825914000504,0.07692307692307693,0.09778846153846153,0.023076923076923078,0.2522115384615385,False
all_records,fixed_0.10_0.35,F1_registered:V1_full,native,True,31200,0.1,0.35,7801,0.0663395734607202,0.06632762173723002,0.0,0.06525641025641025,0.1,0.28474358974358976,False
complete_records,primary_0.10_0.39,F0_singleton:V0_no_provenance,native,True,21600,0.1,0.39,6265,0.5214595375330185,0.5215139161996392,0.09958333333333333,0.12268518518518519,0.0004166666666666667,0.26731481481481484,False
complete_records,primary_0.10_0.39,F0_singleton:V1_full,native,True,21600,0.1,0.39,6265,0.042525320988678623,0.042508805277319366,0.0,0.08069444444444444,0.1,0.30930555555555556,False
complete_records,primary_0.10_0.39,F1_registered:V0_no_provenance,native,True,21600,0.1,0.39,6265,0.5189404549939667,0.5189973503404134,0.09976851851851852,0.1111111111111111,0.0002314814814814815,0.2788888888888889,False
complete_records,primary_0.10_0.39,F1_registered:V1_full,native,True,21600,0.1,0.39,6265,0.01494981721328341,0.014938219261072434,0.0,0.056666666666666664,0.1,0.3333333333333333,False
complete_records,fixed_0.10_0.35,F0_singleton:V0_no_provenance,native,True,21600,0.1,0.3499537037037037,5400,0.554049253676171,0.5541115714220803,0.09958333333333333,0.11300925925925925,0.0004166666666666667,0.23694444444444446,False
complete_records,fixed_0.10_0.35,F0_singleton:V1_full,native,True,21600,0.1,0.3499537037037037,5400,0.0231879944829839,0.02317723759001467,0.0,0.04064814814814815,0.1,0.30930555555555556,False
complete_records,fixed_0.10_0.35,F1_registered:V0_no_provenance,native,True,21600,0.1,0.3499537037037037,5400,0.5539228053275543,0.5539857968880344,0.09976851851851852,0.1111111111111111,0.0002314814814814815,0.2388425925925926,False
complete_records,fixed_0.10_0.35,F1_registered:V1_full,native,True,21600,0.1,0.3499537037037037,5400,0.0016090030339382042,0.001604604714375613,0.0,0.01662037037037037,0.1,0.3333333333333333,False
