method,target,n,admitted,wrong,correct,coverage,wrong_all,correct_all,wrong_admitted
quality_weighted_fusion,0.01,31200,310,310,0,0.009935897435897435,0.009935897435897435,0.0,1.0
quality_weighted_fusion,0.02,31200,623,623,0,0.019967948717948717,0.019967948717948717,0.0,1.0
quality_weighted_fusion,0.03,31200,931,931,0,0.02983974358974359,0.02983974358974359,0.0,1.0
quality_weighted_fusion,0.04,31200,1246,1246,0,0.039935897435897434,0.039935897435897434,0.0,1.0
quality_weighted_fusion,0.05,31200,1556,1556,0,0.04987179487179487,0.04987179487179487,0.0,1.0
quality_weighted_fusion,0.06,31200,1873,1873,0,0.06003205128205128,0.06003205128205128,0.0,1.0
quality_weighted_fusion,0.07,31200,2183,2183,0,0.06996794871794872,0.06996794871794872,0.0,1.0
quality_weighted_fusion,0.08,31200,2495,2495,0,0.07996794871794871,0.07996794871794871,0.0,1.0
quality_weighted_fusion,0.09,31200,2805,2805,0,0.08990384615384615,0.08990384615384615,0.0,1.0
quality_weighted_fusion,0.1,31200,3121,3121,0,0.10003205128205128,0.10003205128205128,0.0,1.0
quality_weighted_fusion,0.11,31200,3430,3430,0,0.10993589743589743,0.10993589743589743,0.0,1.0
quality_weighted_fusion,0.12,31200,3746,3745,1,0.12006410256410256,0.12003205128205129,3.205128205128205e-05,0.9997330485851575
quality_weighted_fusion,0.13,31200,4060,4016,44,0.13012820512820514,0.12871794871794873,0.0014102564102564104,0.9891625615763546
quality_weighted_fusion,0.14,31200,4369,4243,126,0.1400320512820513,0.13599358974358974,0.0040384615384615385,0.9711604486152438
quality_weighted_fusion,0.15,31200,4677,4470,207,0.14990384615384617,0.14326923076923076,0.006634615384615385,0.9557408595253367
quality_weighted_fusion,0.16,31200,4991,4655,336,0.15996794871794873,0.14919871794871795,0.010769230769230769,0.9326788218793829
quality_weighted_fusion,0.17,31200,5304,4811,493,0.17,0.15419871794871795,0.01580128205128205,0.907051282051282
quality_weighted_fusion,0.18,31200,5622,4925,697,0.18019230769230768,0.1578525641025641,0.02233974358974359,0.876022767698328
quality_weighted_fusion,0.19,31200,5926,5043,883,0.18993589743589745,0.16163461538461538,0.028301282051282052,0.850995612554843
quality_weighted_fusion,0.2,31200,6241,5155,1086,0.2000320512820513,0.16522435897435897,0.03480769230769231,0.8259894247716713
quality_weighted_fusion,0.21,31200,6553,5286,1267,0.21003205128205127,0.16942307692307693,0.040608974358974356,0.8066534411719823
quality_weighted_fusion,0.22,31200,6859,5395,1464,0.2198397435897436,0.17291666666666666,0.04692307692307692,0.7865578072605336
quality_weighted_fusion,0.23,31200,7171,5514,1657,0.2298397435897436,0.17673076923076922,0.05310897435897436,0.7689304141681774
quality_weighted_fusion,0.24,31200,7492,5661,1831,0.24012820512820512,0.18144230769230768,0.05868589743589744,0.7556059797116925
quality_weighted_fusion,0.25,31200,7806,5824,1982,0.2501923076923077,0.18666666666666668,0.06352564102564102,0.7460927491673072
quality_weighted_fusion,0.26,31200,8110,5985,2125,0.25993589743589746,0.1918269230769231,0.06810897435897435,0.7379778051787916
quality_weighted_fusion,0.27,31200,8420,6160,2260,0.26987179487179486,0.19743589743589743,0.07243589743589744,0.7315914489311164
quality_weighted_fusion,0.28,31200,8731,6330,2401,0.2798397435897436,0.20288461538461539,0.0769551282051282,0.7250028633604398
quality_weighted_fusion,0.29,31200,9047,6505,2542,0.28996794871794873,0.20849358974358975,0.08147435897435898,0.7190228805128772
quality_weighted_fusion,0.3,31200,9364,6684,2680,0.30012820512820515,0.21423076923076922,0.0858974358974359,0.7137975224263136
quality_weighted_fusion,0.31,31200,9671,6839,2832,0.3099679487179487,0.21919871794871795,0.09076923076923077,0.707165753283011
quality_weighted_fusion,0.32,31200,9995,7021,2974,0.32035256410256413,0.22503205128205128,0.09532051282051282,0.7024512256128064
