sid,task,n,auroc,brier,ece10
S6759,Power Cable,558,0.9969424853226448,0.0933850899977225,0.2219882100964007
S7025,Organizing box,1404,0.8282927898312514,0.320051691914105,0.3400872187606971
S7414,Paper to-go box,3180,0.8208160278469997,0.3225773672271213,0.3443373528940248
S7788,iced cup,66,0.7419651056014692,0.2397165888337679,0.2320940143894153
S8940,Airtight Container lid,906,0.8395976784643948,0.16714155718432744,0.0665302570742978
S8975,100 cm Hotel Towel,654,0.951360248389118,0.2310082386236246,0.3011347872610496
