method,arm,metric,donor_macro,seed_sd,seed_min,seed_max,seeds,donors,records,pair_id,support_low,support_high
PACT,all_view_merge,ece_10bin,0.2522368372442219,0.026410801864976397,0.21771538443681485,0.2830633049213542,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
PACT,all_view_merge,risk_at_0p10,0.12,0.057008771254956896,0.049999999999999996,0.19999999999999998,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
PACT,all_view_merge,posterior_l1_from_native,0.8995608981818443,0.0008961073918270345,0.8987747265244684,0.9009229864068807,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
PACT,all_view_merge,budget_ratio,0.0015883854505441566,0.0002567086154149887,0.001308193604949189,0.0019580935069816344,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
PACT,all_view_merge,top_class_flip_rate,0.645,0.024748737341529117,0.6150000000000001,0.6749999999999999,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,native,ncsAURC,6.349206349206364e-05,3.549314249999674e-05,0.0,7.936507936507954e-05,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,native,accuracy,0.9790000000000001,0.0022360679774998415,0.975,0.9800000000000001,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,native,macro_f1,0.9789328856851321,0.0023581718178826935,0.9747144596952042,0.9799874921826142,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,native,nll,0.21003266757359915,0.007185831392283552,0.2027884764187949,0.22144531798121966,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,native,brier,0.060698130097904,0.0023310266617743384,0.05822413694126377,0.06440968524896724,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,native,ece_10bin,0.12899686520543624,0.005145479252575874,0.12499666169618355,0.13742913427659062,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,native,risk_at_0p10,0.0,0.0,0.0,0.0,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,native,posterior_l1_from_native,0.0,0.0,0.0,0.0,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,native,budget_ratio,nan,nan,nan,nan,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,native,top_class_flip_rate,0.0,0.0,0.0,0.0,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,registered_copy_m8,ncsAURC,0.0014609409712065234,0.0002730121452236287,0.0012315044571282058,0.0019232593999071266,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,registered_copy_m8,accuracy,0.9729999999999999,0.0015138251770487777,0.9708333333333332,0.975,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,registered_copy_m8,macro_f1,0.9728323419265145,0.0015413173753159265,0.9705948117820076,0.9748145676675843,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,registered_copy_m8,nll,0.17774311695050124,0.005880514812818322,0.17396282810260608,0.18791792715268255,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,registered_copy_m8,brier,0.0581837459410663,0.0019078062475006495,0.05684293700168378,0.061544159201192494,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,registered_copy_m8,ece_10bin,0.07331670242381225,0.004023448152909922,0.06875137185051305,0.07969463645161891,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,registered_copy_m8,risk_at_0p10,0.0,0.0,0.0,0.0,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,registered_copy_m8,posterior_l1_from_native,0.17395456002270898,0.0020630890214115593,0.1707297056193475,0.17572879684021003,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,registered_copy_m8,budget_ratio,nan,nan,nan,nan,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
