"contrast","left_arm","right_arm","metric","aggregation","bootstrap_mean","ci_low","ci_high","draws","bootstrap_seed","pair_id","point","support_low","support_high"
"provenance_error","registered_copy_m8","false_split_m8","ece_10bin","donor_macro","-0.05708097053835382","-0.061982406749909104","-0.05150172342722869","2000","20260731","HandWritten-Mfeat__TMC","-0.05661146103225827","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","ece_10bin","worst_donor","0.08009161496319042","0.07451009815126872","0.08565624250947229","2000","20260731","HandWritten-Mfeat__TMC","0.08111838400956825","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","risk_at_0p10","donor_macro","0.005380833333333333","0.0","0.019999999999999997","2000","20260731","HandWritten-Mfeat__TMC","0.006666666666666666","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","risk_at_0p10","worst_donor","0.032285","0.0","0.12","2000","20260731","HandWritten-Mfeat__TMC","0.04","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","posterior_l1_from_native","donor_macro","0.24628939326593877","0.24315876050024124","0.24935493580849463","2000","20260731","HandWritten-Mfeat__TMC","0.24627270356942152","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","posterior_l1_from_native","worst_donor","0.5355748439457397","0.5242424252664099","0.5469445982979307","2000","20260731","HandWritten-Mfeat__TMC","0.5356420074032615","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","budget_ratio","donor_macro","1.1666666666666665","1.1666666666666665","1.166666666666667","2000","20260731","HandWritten-Mfeat__TMC","1.1666666666666667","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","budget_ratio","worst_donor","3.4437856045605226","3.3781578699607198","3.5090895435175833","2000","20260731","HandWritten-Mfeat__TMC","3.4444929431962263","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","top_class_flip_rate","donor_macro","0.009186083333333333","0.0035000000000000005","0.0165","2000","20260731","HandWritten-Mfeat__TMC","0.009166666666666667","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","top_class_flip_rate","worst_donor","0.019919500000000003","0.009000000000000001","0.036","2000","20260731","HandWritten-Mfeat__TMC","0.016","0.1","0.9"
"coarsening_boundary","native","all_view_merge","ncsAURC","donor_macro","0.48950229594067035","0.4642610949783001","0.5154797494609296","2000","20260731","HandWritten-Mfeat__TMC","0.48937925062304977","0.1","0.9"
"coarsening_boundary","native","all_view_merge","ncsAURC","worst_donor","0.48950229594067035","0.4642610949783001","0.5154797494609296","2000","20260731","HandWritten-Mfeat__TMC","0.48937925062304977","0.1","0.9"
"coarsening_boundary","native","all_view_merge","accuracy","donor_macro","-0.626776","-0.658","-0.595","2000","20260731","HandWritten-Mfeat__TMC","-0.626","0.1","0.9"
"coarsening_boundary","native","all_view_merge","accuracy","worst_donor","-0.6267760000000001","-0.658","-0.595","2000","20260731","HandWritten-Mfeat__TMC","-0.626","0.1","0.9"
"coarsening_boundary","native","all_view_merge","macro_f1","donor_macro","-0.7307051084188242","-0.7614666324325403","-0.6972569738811275","2000","20260731","HandWritten-Mfeat__TMC","-0.7293955567541538","0.1","0.9"
"coarsening_boundary","native","all_view_merge","macro_f1","worst_donor","-0.7307051084188242","-0.7614666324325402","-0.6972569738811276","2000","20260731","HandWritten-Mfeat__TMC","-0.7293955567541538","0.1","0.9"
"coarsening_boundary","native","all_view_merge","nll","donor_macro","1.6404983804859703","1.5979146982826438","1.680255793359202","2000","20260731","HandWritten-Mfeat__TMC","1.6406225974746758","0.1","0.9"
"coarsening_boundary","native","all_view_merge","nll","worst_donor","1.6404983804859703","1.5979146982826438","1.680255793359202","2000","20260731","HandWritten-Mfeat__TMC","1.6406225974746758","0.1","0.9"
"coarsening_boundary","native","all_view_merge","brier","donor_macro","0.6466156177403607","0.6282089715721484","0.6653390819036913","2000","20260731","HandWritten-Mfeat__TMC","0.6466522804335081","0.1","0.9"
"coarsening_boundary","native","all_view_merge","brier","worst_donor","0.6466156177403607","0.6282089715721484","0.6653390819036914","2000","20260731","HandWritten-Mfeat__TMC","0.6466522804335082","0.1","0.9"
"coarsening_boundary","native","all_view_merge","ece_10bin","donor_macro","-0.18478291195965346","-0.2174193850449859","-0.15335776286288078","2000","20260731","HandWritten-Mfeat__TMC","-0.18229677639235803","0.1","0.9"
"coarsening_boundary","native","all_view_merge","ece_10bin","worst_donor","-0.18478291195965346","-0.2174193850449859","-0.1533577628628808","2000","20260731","HandWritten-Mfeat__TMC","-0.18229677639235803","0.1","0.9"
"coarsening_boundary","native","all_view_merge","risk_at_0p10","donor_macro","0.10776499999999999","0.019999999999999997","0.21000000000000002","2000","20260731","HandWritten-Mfeat__TMC","0.12","0.1","0.9"
"coarsening_boundary","native","all_view_merge","risk_at_0p10","worst_donor","0.10776500000000001","0.02","0.21000000000000002","2000","20260731","HandWritten-Mfeat__TMC","0.12000000000000002","0.1","0.9"
"coarsening_boundary","native","all_view_merge","posterior_l1_from_native","donor_macro","0.8994870630745455","0.8755019002994144","0.9244213487548205","2000","20260731","HandWritten-Mfeat__TMC","0.8995608981818443","0.1","0.9"
"coarsening_boundary","native","all_view_merge","posterior_l1_from_native","worst_donor","0.8994870630745455","0.8755019002994143","0.9244213487548205","2000","20260731","HandWritten-Mfeat__TMC","0.8995608981818443","0.1","0.9"
"coarsening_boundary","native","all_view_merge","budget_ratio","donor_macro","-0.9984095338833793","-0.9985293139174553","-0.9982877829559048","2000","20260731","HandWritten-Mfeat__TMC","-0.9984116145494557","0.1","0.9"
"coarsening_boundary","native","all_view_merge","budget_ratio","worst_donor","-0.9984095338833793","-0.9985293139174553","-0.9982877829559047","2000","20260731","HandWritten-Mfeat__TMC","-0.9984116145494557","0.1","0.9"
"coarsening_boundary","native","all_view_merge","top_class_flip_rate","donor_macro","0.6458309999999999","0.616","0.675","2000","20260731","HandWritten-Mfeat__TMC","0.645","0.1","0.9"
"coarsening_boundary","native","all_view_merge","top_class_flip_rate","worst_donor","0.6458309999999999","0.616","0.675","2000","20260731","HandWritten-Mfeat__TMC","0.645","0.1","0.9"
"conservation","native","registered_copy_m8","ncsAURC","donor_macro","0.0","0.0","0.0","2000","20260732","HandWritten-Mfeat__RCML","0.0","0.1","0.9"
"conservation","native","registered_copy_m8","ncsAURC","worst_donor","0.0","0.0","0.0","2000","20260732","HandWritten-Mfeat__RCML","0.0","0.1","0.9"
"conservation","native","registered_copy_m8","accuracy","donor_macro","0.0","0.0","0.0","2000","20260732","HandWritten-Mfeat__RCML","0.0","0.1","0.9"
"conservation","native","registered_copy_m8","accuracy","worst_donor","0.0","0.0","0.0","2000","20260732","HandWritten-Mfeat__RCML","0.0","0.1","0.9"
"conservation","native","registered_copy_m8","macro_f1","donor_macro","0.0","0.0","0.0","2000","20260732","HandWritten-Mfeat__RCML","0.0","0.1","0.9"
"conservation","native","registered_copy_m8","macro_f1","worst_donor","0.0","0.0","0.0","2000","20260732","HandWritten-Mfeat__RCML","0.0","0.1","0.9"
"conservation","native","registered_copy_m8","nll","donor_macro","0.0","0.0","0.0","2000","20260732","HandWritten-Mfeat__RCML","0.0","0.1","0.9"
"conservation","native","registered_copy_m8","nll","worst_donor","0.0","0.0","0.0","2000","20260732","HandWritten-Mfeat__RCML","0.0","0.1","0.9"
"conservation","native","registered_copy_m8","brier","donor_macro","-1.61907524424502e-21","0.0","0.0","2000","20260732","HandWritten-Mfeat__RCML","0.0","0.1","0.9"
"conservation","native","registered_copy_m8","brier","worst_donor","2.7755575615628915e-21","0.0","0.0","2000","20260732","HandWritten-Mfeat__RCML","0.0","0.1","0.9"
"conservation","native","registered_copy_m8","ece_10bin","donor_macro","0.0","0.0","0.0","2000","20260732","HandWritten-Mfeat__RCML","0.0","0.1","0.9"
"conservation","native","registered_copy_m8","ece_10bin","worst_donor","0.0","0.0","0.0","2000","20260732","HandWritten-Mfeat__RCML","0.0","0.1","0.9"
"conservation","native","registered_copy_m8","risk_at_0p10","donor_macro","0.0","0.0","0.0","2000","20260732","HandWritten-Mfeat__RCML","0.0","0.1","0.9"
"conservation","native","registered_copy_m8","risk_at_0p10","worst_donor","0.0","0.0","0.0","2000","20260732","HandWritten-Mfeat__RCML","0.0","0.1","0.9"
"conservation","native","registered_copy_m8","posterior_l1_from_native","donor_macro","2.4527544347415407e-20","1.5323390704461797e-20","3.5272710678195075e-20","2000","20260732","HandWritten-Mfeat__RCML","2.4575249243004772e-20","0.1","0.9"
"conservation","native","registered_copy_m8","posterior_l1_from_native","worst_donor","1.3000451409839186e-19","7.975391180803371e-20","1.9255430583342557e-19","2000","20260732","HandWritten-Mfeat__RCML","1.3010426069826053e-19","0.1","0.9"
"conservation","native","registered_copy_m8","budget_ratio","donor_macro","4.944193202997364e-18","-1.4802973661668754e-17","3.700743415417188e-17","2000","20260732","HandWritten-Mfeat__RCML","0.0","0.1","0.9"
"conservation","native","registered_copy_m8","budget_ratio","worst_donor","2.3026025530725744e-17","0.0","8.881784197001253e-17","2000","20260732","HandWritten-Mfeat__RCML","0.0","0.1","0.9"
"conservation","native","registered_copy_m8","top_class_flip_rate","donor_macro","0.0","0.0","0.0","2000","20260732","HandWritten-Mfeat__RCML","0.0","0.1","0.9"
"conservation","native","registered_copy_m8","top_class_flip_rate","worst_donor","0.0","0.0","0.0","2000","20260732","HandWritten-Mfeat__RCML","0.0","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","ncsAURC","donor_macro","0.0024308245758132073","0.0008478497046984702","0.004408474878689494","2000","20260732","HandWritten-Mfeat__RCML","0.0024423407529732544","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","ncsAURC","worst_donor","0.01050489071309151","0.00288617128011798","0.020941759112198945","2000","20260732","HandWritten-Mfeat__RCML","0.010415285203799496","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","accuracy","donor_macro","-0.012600708333333344","-0.01908541666666672","-0.007166666666666666","2000","20260732","HandWritten-Mfeat__RCML","-0.012500000000000002","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","accuracy","worst_donor","-0.024016750000000024","-0.03749999999999998","-0.013500000000000045","2000","20260732","HandWritten-Mfeat__RCML","-0.022499999999999985","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","macro_f1","donor_macro","-0.012588558382589194","-0.01908516223140836","-0.007140790047992759","2000","20260732","HandWritten-Mfeat__RCML","-0.012475675600794886","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","macro_f1","worst_donor","-0.023880496850898866","-0.03694272940649546","-0.013513558364790042","2000","20260732","HandWritten-Mfeat__RCML","-0.022257906192118558","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","nll","donor_macro","-0.0800817038831153","-0.08293635603917651","-0.07695627535347022","2000","20260732","HandWritten-Mfeat__RCML","-0.08010404843794997","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","nll","worst_donor","0.014329047090635462","0.006820489531660939","0.02095704361594973","2000","20260732","HandWritten-Mfeat__RCML","0.014482026582041785","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","brier","donor_macro","-0.023996650100832254","-0.02569148611820817","-0.02212633310341886","2000","20260732","HandWritten-Mfeat__RCML","-0.024006693230780026","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","brier","worst_donor","0.00833033054225512","0.00441078299994738","0.01342564196316249","2000","20260732","HandWritten-Mfeat__RCML","0.0075389169275480675","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","ece_10bin","donor_macro","-0.07930343201384292","-0.08615777979774214","-0.07345051354668432","2000","20260732","HandWritten-Mfeat__RCML","-0.08047737046038006","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","ece_10bin","worst_donor","0.00637997369763821","-0.0006877388085555774","0.011881382181306497","2000","20260732","HandWritten-Mfeat__RCML","0.006374072328465241","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","risk_at_0p10","donor_macro","0.0","0.0","0.0","2000","20260732","HandWritten-Mfeat__RCML","0.0","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","risk_at_0p10","worst_donor","0.0","0.0","0.0","2000","20260732","HandWritten-Mfeat__RCML","0.0","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","posterior_l1_from_native","donor_macro","0.21426141732069806","0.2089769957092384","0.22003659624761543","2000","20260732","HandWritten-Mfeat__RCML","0.21427806200789296","0.1","0.9"
