setting_id,language_pmax,dirichlet_kappa,quality_multiplier,conflict_multiplier,occlusion_strength,records,dirichlet_projection_fallbacks,nested_naurc,pooling_naurc,pact_naurc,pact_minus_nested_naurc,pact_minus_pooling_naurc,nested_coverage,pooling_coverage,pact_coverage,nested_wrong_all,pooling_wrong_all,pact_wrong_all,nested_wrong_admitted,pooling_wrong_admitted,pact_wrong_admitted,nested_correct_all,pooling_correct_all,pact_correct_all,nested_clean_coverage,pooling_clean_coverage,pact_clean_coverage
0,0.75,100.0,0.8052598461508751,0.8506084527820349,1.0,31200,0,0.11930552077482169,0.2077867994462593,0.06728359581441676,-0.05202192496040493,-0.14050320363184254,0.13125,0.13128205128205128,0.13121794871794873,0.001153846153846154,0.01092948717948718,0.0,0.008791208791208791,0.083251953125,0.0,0.13009615384615383,0.1203525641025641,0.13121794871794873,0.8570833333333333,0.7545833333333334,0.85875
1,0.95,50.0,1.0186073239892721,1.022508801519871,1.0,31200,0,0.11806322686229753,0.2044023943678411,0.06796369722748118,-0.050099529634816356,-0.13643869714035994,0.13131410256410256,0.13147435897435897,0.13102564102564102,0.0,0.01016025641025641,0.0,0.0,0.0772793759141882,0.0,0.13131410256410256,0.12131410256410256,0.13102564102564102,0.8554166666666667,0.7716666666666666,0.8575
2,0.85,200.0,0.918957631289959,0.9797142084687949,0.5,31200,0,0.11440552413177708,0.19879753718598364,0.06618976260486696,-0.04821576152691012,-0.13260777458111667,0.13121794871794873,0.13083333333333333,0.13115384615384615,6.41025641025641e-05,0.010608974358974359,0.0,0.0004885197850512946,0.08108770210681039,0.0,0.13115384615384615,0.12022435897435897,0.13115384615384615,0.89625,0.7495833333333334,0.88375
3,0.65,50.0,1.1071738954633474,1.1453126892447472,1.5,31200,0,0.19829127157153845,0.2695950776484393,0.06736368693326257,-0.13092758463827586,-0.20223139071517676,0.13105769230769232,0.13105769230769232,0.13115384615384615,0.01330128205128205,0.019967948717948717,0.0,0.10149180728784545,0.15235999021765712,0.0,0.11775641025641026,0.11108974358974359,0.13115384615384615,0.7770833333333333,0.6754166666666667,0.8045833333333333
4,0.65,200.0,1.0981001939624548,1.1755806051194668,1.5,31200,0,0.1575366134016462,0.23846576290624308,0.06679843596633585,-0.09073817743531036,-0.17166732693990722,0.1314423076923077,0.13141025641025642,0.13112179487179487,0.008237179487179487,0.015,0.0,0.06266764203852719,0.11414634146341464,0.0,0.1232051282051282,0.11641025641025642,0.13112179487179487,0.7766666666666666,0.71375,0.7920833333333334
5,0.9,100.0,0.8851434245705605,0.9474321264773607,0.5,31200,0,0.11554157125437596,0.20301471242697305,0.0665445342522069,-0.048997037002169064,-0.13647017817476614,0.1308653846153846,0.13105769230769232,0.13115384615384615,6.41025641025641e-05,0.01064102564102564,0.0,0.0004898359049718344,0.08119344583027635,0.0,0.13080128205128205,0.12041666666666667,0.13115384615384615,0.89625,0.7616666666666667,0.88125
6,0.95,200.0,1.177682426199317,1.055035024136305,0.5,31200,0,0.11638964849286454,0.19882897353718443,0.06633110355772545,-0.05005854493513909,-0.13249786997945898,0.1308974358974359,0.1310897435897436,0.1310897435897436,3.205128205128205e-05,0.010224358974358975,0.0,0.0002448579823702253,0.07799511002444988,0.0,0.1308653846153846,0.12086538461538461,0.1310897435897436,0.89375,0.7583333333333333,0.8895833333333333
7,0.75,50.0,0.9890756443142892,0.8206823337823153,1.5,31200,0,0.14279456642141927,0.24301723028987562,0.06773206504062172,-0.07506250138079755,-0.17528516524925392,0.13083333333333333,0.13099358974358974,0.13112179487179487,0.003653846153846154,0.014455128205128205,0.0,0.02792748652621264,0.11034988989478835,0.0,0.12717948717948718,0.11653846153846154,0.13112179487179487,0.81875,0.7058333333333333,0.8366666666666667
8,0.85,200.0,1.167620911076665,0.9044630713760853,1.0,31200,0,0.1189375197341552,0.20870663051574248,0.06677663169793986,-0.05216088803621534,-0.1419299988178026,0.1307371794871795,0.13118589743589743,0.13080128205128205,3.205128205128205e-05,0.010576923076923078,0.0,0.00024515812699190976,0.08062545809919375,0.0,0.1307051282051282,0.12060897435897436,0.13080128205128205,0.8495833333333334,0.7620833333333333,0.8566666666666667
9,0.9,100.0,0.9561666689813137,1.1701133016496899,1.0,31200,0,0.11206240311339964,0.19349062571752007,0.06661378147994555,-0.04544862163345409,-0.1268768442375745,0.13150641025641024,0.1308974358974359,0.1309294871794872,3.205128205128205e-05,0.010608974358974359,0.0,0.00024372410431391665,0.08104799216454456,0.0,0.13147435897435897,0.12028846153846154,0.1309294871794872,0.8395833333333333,0.7645833333333333,0.8441666666666666
