method,macro_accuracy,worst_task_accuracy,macro_ncsAURC,worst_task_ncsAURC
product,0.810089025337541,0.5,0.2667964743696393,0.7683273429567584
nested_dirichlet,0.7989564400191083,0.46788990825688076,0.25141971278246383,0.7012553080702179
hierarchy_matched_cautious,0.7893580973488601,0.44954128440366975,0.25329497063573625,0.6916893682610287
pact_registered_family,0.7922085059126837,0.46788990825688076,0.2545967803523779,0.7008030108979726
pact_false_split,0.7922085059126837,0.46788990825688076,0.25096202617013225,0.6986671635224415
pact_false_merge,0.7402520954576031,0.5,0.2677032526006099,0.7705928729579271
