pairing,is_registered,accuracy,negative_log_likelihood,unnormalized_multiclass_brier,adaptive_ece_10,ncsAURC,mean_evidence_budget,mean_budget_ratio_to_registered,mean_posterior_l1_drift
qwen3vl_8b+qwen3vl_32b;internvl3_2b+internvl3_8b;llava_onevision_0_5b+llava_onevision_7b;smolvlm2_0_5b+smolvlm2_2_2b,True,0.8661347517730497,0.5958567109002637,0.4036537894458374,0.30617627198594144,0.16495748413533468,6.989373507551166,1.0,0.0
qwen3vl_8b+qwen3vl_32b;internvl3_2b+internvl3_8b;llava_onevision_0_5b+smolvlm2_0_5b;llava_onevision_7b+smolvlm2_2_2b,False,0.8661347517730497,0.5949773666491657,0.40280309030748357,0.3056043007570494,0.16492428940957343,6.914178754042719,0.9890737016840169,0.0011439424577840342
qwen3vl_8b+qwen3vl_32b;internvl3_2b+internvl3_8b;llava_onevision_0_5b+smolvlm2_2_2b;llava_onevision_7b+smolvlm2_0_5b,False,0.8661347517730497,0.5950055905470985,0.40283052923723894,0.3056234474408245,0.164939486467137,6.917440830757398,0.9895341537455252,0.0011822358253341146
qwen3vl_8b+qwen3vl_32b;internvl3_2b+llava_onevision_0_5b;internvl3_8b+llava_onevision_7b;smolvlm2_0_5b+smolvlm2_2_2b,False,0.8661347517730497,0.5948036618088336,0.40264364128139407,0.30551315728589357,0.16506576242549628,6.908790735875361,0.988066437607765,0.0013291846958905795
qwen3vl_8b+qwen3vl_32b;internvl3_2b+llava_onevision_0_5b;internvl3_8b+smolvlm2_0_5b;llava_onevision_7b+smolvlm2_2_2b,False,0.8661347517730497,0.5927997084233707,0.40072093334111425,0.3042034271572327,0.1649759000025667,6.738938689094731,0.9629518490752796,0.003948644953212373
qwen3vl_8b+qwen3vl_32b;internvl3_2b+llava_onevision_0_5b;internvl3_8b+smolvlm2_2_2b;llava_onevision_7b+smolvlm2_0_5b,False,0.8661347517730497,0.5934068691302768,0.4013106139431965,0.3045840800054836,0.16505302156136872,6.786476255313409,0.9697777395256555,0.0047099506497142495
qwen3vl_8b+qwen3vl_32b;internvl3_2b+llava_onevision_7b;internvl3_8b+llava_onevision_0_5b;smolvlm2_0_5b+smolvlm2_2_2b,False,0.8661347517730497,0.5958871282292678,0.4036959304363272,0.3063302012839781,0.16455307585718545,7.033537411463819,1.0062179215609186,0.002963272692059633
qwen3vl_8b+qwen3vl_32b;internvl3_2b+llava_onevision_7b;internvl3_8b+smolvlm2_0_5b;llava_onevision_0_5b+smolvlm2_2_2b,False,0.8661347517730497,0.5955253267111993,0.40334745532100136,0.30608274828805304,0.16462477229093372,6.998284111670161,1.0010497119512851,0.0032503645459159474
qwen3vl_8b+qwen3vl_32b;internvl3_2b+llava_onevision_7b;internvl3_8b+smolvlm2_2_2b;llava_onevision_0_5b+smolvlm2_0_5b,False,0.8661347517730497,0.5960825120072177,0.4038892578424521,0.30642880659263383,0.16454098911206078,7.04255960117416,1.0074151503401525,0.0039814364252854575
qwen3vl_8b+qwen3vl_32b;internvl3_2b+smolvlm2_0_5b;internvl3_8b+llava_onevision_0_5b;llava_onevision_7b+smolvlm2_2_2b,False,0.8661347517730497,0.5922914769390849,0.4002288670388183,0.3038866420071543,0.1651872817521013,6.702150032110573,0.95763951179549,0.0045990998192945035
