method,coverage,wrong_all,correct_all,conditional_wrong_admission
product,0.1,0.0,0.1,0.0
product,0.12285714285714286,0.0,0.12285714285714285,0.0
product,0.1457142857142857,0.0,0.1457142857142857,0.0
product,0.1685714285714286,0.0,0.1685714285714286,0.0
product,0.19142857142857145,0.0,0.19142857142857145,0.0
product,0.2142857142857143,6.332320162107635e-05,0.21422239108409322,0.00029550827423168965
product,0.23714285714285716,0.0008865248226950354,0.23625633232016213,0.003738357686063402
product,0.26,0.0013297872340425532,0.2586702127659575,0.00511456628477905
product,0.28285714285714286,0.0026595744680851063,0.28019756838905774,0.00940253599828068
product,0.3057142857142857,0.0031028368794326243,0.3026114488348531,0.01014946642805064
product,0.32857142857142857,0.005015197568389059,0.32355623100303954,0.015263644773358004
product,0.3514285714285714,0.007978723404255319,0.3434498480243161,0.022703684483653345
product,0.37428571428571433,0.013297872340425532,0.36098784194528877,0.03552866655838882
product,0.39714285714285713,0.016843971631205674,0.3802988855116515,0.042412878208071846
product,0.42000000000000004,0.024609929078014226,0.3953900709219858,0.0585950692333672
product,0.44285714285714284,0.03368794326241135,0.4091691995947315,0.07606954930221917
product,0.46571428571428575,0.04461499493414388,0.42109929078014185,0.09579906887699606
product,0.48857142857142855,0.05887031408308002,0.4297011144883485,0.12049479490688894
product,0.5114285714285715,0.07358156028368794,0.4378470111448835,0.14387455921391495
product,0.5342857142857143,0.09052853765619723,0.443757176629517,0.16943843946347073
product,0.5571428571428572,0.10856129685916925,0.44858156028368795,0.19485360974722685
product,0.58,0.12599290780141845,0.45400709219858154,0.21722915138175594
product,0.6028571428571429,0.14053444782168184,0.462322695035461,0.23311401297435377
product,0.6257142857142857,0.1576291793313069,0.46808510638297873,0.25191877975323024
product,0.6485714285714286,0.1756676798378926,0.47290374873353597,0.27085325085137624
product,0.6714285714285714,0.1934270516717325,0.4780015197568389,0.28808284291534625
product,0.6942857142857143,0.21290273556231004,0.48138297872340424,0.3066500306453025
product,0.7171428571428571,0.22891717325227962,0.48822568389057747,0.3192072136983979
product,0.74,0.2467730496453901,0.49322695035460995,0.333477094115392
product,0.7628571428571428,0.2664032421479229,0.49645390070921985,0.34921773315270793
product,0.7857142857142857,0.28660081053698067,0.499113475177305,0.36476466795615725
product,0.8085714285714285,0.3094579533941235,0.499113475177305,0.38272185048743196
product,0.8314285714285714,0.3318718338399189,0.4995567375886525,0.3991585630377032
product,0.8542857142857143,0.3547289766970618,0.4995567375886525,0.41523458810692854
product,0.8771428571428571,0.37716122087132725,0.4999816362715298,0.4299883625568877
product,0.9,0.4,0.5,0.4444444444444445
nested_dirichlet,0.1,0.0,0.1,0.0
nested_dirichlet,0.12285714285714286,0.0,0.12285714285714285,0.0
nested_dirichlet,0.1457142857142857,0.0,0.1457142857142857,0.0
nested_dirichlet,0.1685714285714286,0.0,0.1685714285714286,0.0
nested_dirichlet,0.19142857142857145,0.0,0.19142857142857145,0.0
nested_dirichlet,0.2142857142857143,0.0,0.2142857142857143,0.0
nested_dirichlet,0.23714285714285716,0.0008865248226950354,0.23625633232016213,0.003738357686063402
nested_dirichlet,0.26,0.0017730496453900709,0.25822695035460996,0.006819421713038734
nested_dirichlet,0.28285714285714286,0.0017730496453900709,0.28108409321175276,0.006268357332187119
nested_dirichlet,0.3057142857142857,0.0035460992907801418,0.30216818642350557,0.011599390203486446
nested_dirichlet,0.32857142857142857,0.005319148936170213,0.3232522796352584,0.016188714153561518
nested_dirichlet,0.3514285714285714,0.009229989868287755,0.3421985815602837,0.026264198812200927
nested_dirichlet,0.37428571428571433,0.011968085106382979,0.36231762917933136,0.031975799902549944
nested_dirichlet,0.39714285714285713,0.018617021276595744,0.3785258358662614,0.04687739170365835
nested_dirichlet,0.42000000000000004,0.027925531914893616,0.39207446808510643,0.06648936170212766
nested_dirichlet,0.44285714285714284,0.035942249240121585,0.40691489361702127,0.08115991763898421
nested_dirichlet,0.46571428571428575,0.04831560283687943,0.4173986828774063,0.10374515946569203
nested_dirichlet,0.48857142857142855,0.05806737588652482,0.4305040526849037,0.11885135415370579
nested_dirichlet,0.5114285714285715,0.07047872340425532,0.44094984802431614,0.13780755972899084
nested_dirichlet,0.5342857142857143,0.08880699088145895,0.4454787234042553,0.16621629309363975
nested_dirichlet,0.5571428571428572,0.1050151975683891,0.4521276595744681,0.1884888161483907
nested_dirichlet,0.58,0.12166666666666667,0.4583333333333333,0.20977011494252876
nested_dirichlet,0.6028571428571429,0.13787487335359672,0.4649822695035461,0.22870239655809885
nested_dirichlet,0.6257142857142857,0.15629939209726437,0.46941489361702127,0.24979354901389283
nested_dirichlet,0.6485714285714286,0.17295086119554204,0.47562056737588654,0.26666432342924984
nested_dirichlet,0.6714285714285714,0.1901595744680851,0.48126899696048625,0.2832163875056587
nested_dirichlet,0.6942857142857143,0.20625379939209726,0.488031914893617,0.2970733736100166
nested_dirichlet,0.7171428571428571,0.2242350557244174,0.4929078014184397,0.31267836455596054
nested_dirichlet,0.74,0.24487588652482273,0.4951241134751773,0.33091336016867934
nested_dirichlet,0.7628571428571428,0.26418693009118527,0.49867021276595747,0.34631245517571113
nested_dirichlet,0.7857142857142857,0.28571428571428564,0.5,0.3636363636363636
nested_dirichlet,0.8085714285714285,0.3085714285714285,0.5,0.381625441696113
nested_dirichlet,0.8314285714285714,0.3314285714285714,0.5,0.3986254295532646
nested_dirichlet,0.8542857142857143,0.3542857142857143,0.5,0.41471571906354515
nested_dirichlet,0.8771428571428571,0.3771428571428571,0.5,0.4299674267100977
nested_dirichlet,0.9,0.4,0.5,0.4444444444444445
hierarchy_matched_cautious,0.1,0.0,0.1,0.0
hierarchy_matched_cautious,0.12285714285714286,0.0,0.12285714285714285,0.0
hierarchy_matched_cautious,0.1457142857142857,0.0,0.1457142857142857,0.0
hierarchy_matched_cautious,0.1685714285714286,0.0,0.1685714285714286,0.0
hierarchy_matched_cautious,0.19142857142857145,0.0,0.19142857142857145,0.0
hierarchy_matched_cautious,0.2142857142857143,0.0004432624113475177,0.21384245187436676,0.0020685579196217494
hierarchy_matched_cautious,0.23714285714285716,0.0013297872340425532,0.2358130699088146,0.0056075365290951034
hierarchy_matched_cautious,0.26,0.0017730496453900709,0.25822695035460996,0.006819421713038734
hierarchy_matched_cautious,0.28285714285714286,0.0026595744680851063,0.28019756838905774,0.00940253599828068
hierarchy_matched_cautious,0.3057142857142857,0.0035460992907801418,0.30216818642350557,0.011599390203486446
hierarchy_matched_cautious,0.32857142857142857,0.006648936170212766,0.3219224924012158,0.020235892691951897
hierarchy_matched_cautious,0.3514285714285714,0.008786727456940237,0.3426418439716312,0.025002883007553517
hierarchy_matched_cautious,0.37428571428571433,0.012411347517730497,0.3618743667679838,0.03316008878782957
hierarchy_matched_cautious,0.39714285714285713,0.02125633232016209,0.375886524822695,0.05352313893565994
hierarchy_matched_cautious,0.42000000000000004,0.027925531914893616,0.39207446808510643,0.06648936170212766
hierarchy_matched_cautious,0.44285714285714284,0.03856382978723404,0.4042933130699088,0.087079615648593
hierarchy_matched_cautious,0.46571428571428575,0.049047619047619055,0.4166666666666667,0.10531697341513295
hierarchy_matched_cautious,0.48857142857142855,0.05949341438703138,0.42907801418439717,0.12177014640620458
hierarchy_matched_cautious,0.5114285714285715,0.07215552178318138,0.43927304964539005,0.14108621577717032
hierarchy_matched_cautious,0.5342857142857143,0.08836372847011144,0.44592198581560283,0.1653866575643797
hierarchy_matched_cautious,0.5571428571428572,0.10505319148936171,0.4520896656534955,0.188557010365521
hierarchy_matched_cautious,0.58,0.12033687943262412,0.4596631205673759,0.20747737833211055
hierarchy_matched_cautious,0.6028571428571429,0.1347720364741641,0.46808510638297873,0.22355551073913477
hierarchy_matched_cautious,0.6257142857142857,0.15319655521783174,0.4725177304964539,0.24483467728877223
hierarchy_matched_cautious,0.6485714285714286,0.172064336372847,0.47650709219858156,0.2652974349361077
hierarchy_matched_cautious,0.6714285714285714,0.18927304964539007,0.48215552178318133,0.2818960313867512
hierarchy_matched_cautious,0.6942857142857143,0.20567375886524822,0.48861195542046604,0.2962379242915098
hierarchy_matched_cautious,0.7171428571428571,0.22334853090172235,0.49379432624113473,0.3114421745641547
hierarchy_matched_cautious,0.74,0.24487588652482273,0.4951241134751773,0.33091336016867934
hierarchy_matched_cautious,0.7628571428571428,0.26418693009118527,0.49867021276595747,0.34631245517571113
hierarchy_matched_cautious,0.7857142857142857,0.28571428571428564,0.5,0.3636363636363636
hierarchy_matched_cautious,0.8085714285714285,0.3085714285714285,0.5,0.381625441696113
hierarchy_matched_cautious,0.8314285714285714,0.3314285714285714,0.5,0.3986254295532646
hierarchy_matched_cautious,0.8542857142857143,0.3542857142857143,0.5,0.41471571906354515
hierarchy_matched_cautious,0.8771428571428571,0.3771428571428571,0.5,0.4299674267100977
hierarchy_matched_cautious,0.9,0.4,0.5,0.4444444444444445
pact_registered_family,0.1,0.0,0.1,0.0
pact_registered_family,0.12285714285714286,0.0,0.12285714285714285,0.0
pact_registered_family,0.1457142857142857,0.0,0.1457142857142857,0.0
pact_registered_family,0.1685714285714286,0.0,0.1685714285714286,0.0
pact_registered_family,0.19142857142857145,0.0,0.19142857142857145,0.0
pact_registered_family,0.2142857142857143,0.0004432624113475177,0.21384245187436676,0.0020685579196217494
pact_registered_family,0.23714285714285716,0.0008865248226950354,0.23625633232016213,0.003738357686063402
pact_registered_family,0.26,0.0013297872340425532,0.2586702127659575,0.00511456628477905
pact_registered_family,0.28285714285714286,0.002216312056737589,0.28064083080040525,0.0078354466652339
pact_registered_family,0.3057142857142857,0.0038525835866261345,0.30186170212765956,0.012601908928216329
pact_registered_family,0.32857142857142857,0.0062056737588652485,0.32236575481256335,0.018886833179155103
pact_registered_family,0.3514285714285714,0.008421985815602837,0.3430065856129686,0.023965000288300755
pact_registered_family,0.37428571428571433,0.012411347517730497,0.3618743667679838,0.03316008878782957
pact_registered_family,0.39714285714285713,0.019060283687943262,0.37808257345491386,0.04799352007755498
pact_registered_family,0.42000000000000004,0.028368794326241134,0.3916312056737589,0.06754474839581222
pact_registered_family,0.44285714285714284,0.035942249240121585,0.40691489361702127,0.08115991763898421
pact_registered_family,0.46571428571428575,0.048161094224924025,0.4175531914893617,0.10341339250750557
pact_registered_family,0.48857142857142855,0.058606889564336344,0.4299645390070922,0.11995562191530831
pact_registered_family,0.5114285714285715,0.07136524822695035,0.4400633232016211,0.13954098815325489
pact_registered_family,0.5342857142857143,0.08925025329280648,0.4450354609929078,0.16704592862289983
pact_registered_family,0.5571428571428572,0.10505319148936171,0.4520896656534955,0.188557010365521
pact_registered_family,0.58,0.12255319148936171,0.4574468085106383,0.21129860601614087
pact_registered_family,0.6028571428571429,0.13920466058763928,0.46365248226950356,0.2309082047662263
pact_registered_family,0.6257142857142857,0.1571859169199594,0.46852836879432624,0.25121036950678444
pact_registered_family,0.6485714285714286,0.17383738601823706,0.4747340425531915,0.268031211922392
pact_registered_family,0.6714285714285714,0.19104609929078015,0.4803824721377912,0.2845367436245662
pact_registered_family,0.6942857142857143,0.20833333333333334,0.48595238095238097,0.3000685871056241
pact_registered_family,0.7171428571428571,0.22556484295845994,0.49157801418439717,0.3145326495436693
pact_registered_family,0.74,0.24531914893617024,0.4946808510638298,0.33151236342725704
pact_registered_family,0.7628571428571428,0.26507345491388035,0.4977836879432624,0.34747456636650986
pact_registered_family,0.7857142857142857,0.28615754812563315,0.4995567375886525,0.36420051579626045
pact_registered_family,0.8085714285714285,0.3085714285714285,0.5,0.381625441696113
pact_registered_family,0.8314285714285714,0.3314285714285714,0.5,0.3986254295532646
pact_registered_family,0.8542857142857143,0.3542857142857143,0.5,0.41471571906354515
pact_registered_family,0.8771428571428571,0.3771428571428571,0.5,0.4299674267100977
pact_registered_family,0.9,0.4,0.5,0.4444444444444445
pact_false_split,0.1,0.0,0.1,0.0
pact_false_split,0.12285714285714286,0.0,0.12285714285714285,0.0
pact_false_split,0.1457142857142857,0.0,0.1457142857142857,0.0
pact_false_split,0.1685714285714286,0.0,0.1685714285714286,0.0
pact_false_split,0.19142857142857145,0.0,0.19142857142857145,0.0
pact_false_split,0.2142857142857143,0.0,0.2142857142857143,0.0
pact_false_split,0.23714285714285716,0.0008865248226950354,0.23625633232016213,0.003738357686063402
pact_false_split,0.26,0.0017730496453900709,0.25822695035460996,0.006819421713038734
pact_false_split,0.28285714285714286,0.0017730496453900709,0.28108409321175276,0.006268357332187119
pact_false_split,0.3057142857142857,0.0035460992907801418,0.30216818642350557,0.011599390203486446
pact_false_split,0.32857142857142857,0.00576241134751773,0.32280901722391087,0.01753777366635831
pact_false_split,0.3514285714285714,0.008865248226950355,0.3425633232016211,0.02522631609294816
pact_false_split,0.37428571428571433,0.012140324214792324,0.362145390070922,0.032435980726544376
pact_false_split,0.39714285714285713,0.01948328267477202,0.3776595744680851,0.04905862544007343
pact_false_split,0.42000000000000004,0.02815602836879437,0.39184397163120566,0.06703816278284373
pact_false_split,0.44285714285714284,0.035942249240121585,0.40691489361702127,0.08115991763898421
pact_false_split,0.46571428571428575,0.04831560283687943,0.4173986828774063,0.10374515946569203
pact_false_split,0.48857142857142855,0.05806737588652482,0.4305040526849037,0.11885135415370579
pact_false_split,0.5114285714285715,0.07092198581560284,0.4405065856129686,0.13867427394112286
pact_false_split,0.5342857142857143,0.08880699088145895,0.4454787234042553,0.16621629309363975
pact_false_split,0.5571428571428572,0.10460992907801418,0.452532928064843,0.18776141116566647
pact_false_split,0.58,0.12122340425531916,0.4587765957446808,0.2090058694057227
pact_false_split,0.6028571428571429,0.13787487335359672,0.4649822695035461,0.22870239655809885
pact_false_split,0.6257142857142857,0.15585612968591683,0.4698581560283688,0.24908513876744703
pact_false_split,0.6485714285714286,0.17295086119554204,0.47562056737588654,0.26666432342924984
pact_false_split,0.6714285714285714,0.19048885511651464,0.48093971631205673,0.2837068054926814
pact_false_split,0.6942857142857143,0.20581053698074975,0.48847517730496454,0.2964349298076642
pact_false_split,0.7171428571428571,0.2242350557244174,0.4929078014184397,0.31267836455596054
pact_false_split,0.74,0.24487588652482273,0.4951241134751773,0.33091336016867934
pact_false_split,0.7628571428571428,0.26463019250253283,0.49822695035460995,0.34689351077111047
pact_false_split,0.7857142857142857,0.28571428571428564,0.5,0.3636363636363636
pact_false_split,0.8085714285714285,0.3085714285714285,0.5,0.381625441696113
pact_false_split,0.8314285714285714,0.3314285714285714,0.5,0.3986254295532646
pact_false_split,0.8542857142857143,0.3542857142857143,0.5,0.41471571906354515
pact_false_split,0.8771428571428571,0.3771428571428571,0.5,0.4299674267100977
pact_false_split,0.9,0.4,0.5,0.4444444444444445
pact_false_merge,0.1,0.0,0.1,0.0
pact_false_merge,0.12285714285714286,0.0,0.12285714285714285,0.0
pact_false_merge,0.1457142857142857,0.0,0.1457142857142857,0.0
pact_false_merge,0.1685714285714286,0.0,0.1685714285714286,0.0
pact_false_merge,0.19142857142857145,0.00042299898682878167,0.19100557244174268,0.0022096961998518444
pact_false_merge,0.2142857142857143,0.0004432624113475177,0.21384245187436676,0.0020685579196217494
pact_false_merge,0.23714285714285716,0.0008862715298885528,0.2362565856129686,0.003737289583867391
pact_false_merge,0.26,0.002216312056737589,0.25778368794326245,0.008524277141298418
pact_false_merge,0.28285714285714286,0.004875886524822695,0.2779812563323201,0.01723798266351458
pact_false_merge,0.3057142857142857,0.008131965552178315,0.2975823201621074,0.026599887320209445
pact_false_merge,0.32857142857142857,0.010638297872340425,0.31793313069908813,0.032377428307123035
pact_false_merge,0.3514285714285714,0.012854609929078014,0.3385739614994934,0.03657815833477483
pact_false_merge,0.37428571428571433,0.01551418439716312,0.3587715298885512,0.04145011098478696
pact_false_merge,0.39714285714285713,0.020833333333333332,0.3763095238095238,0.05245803357314149
pact_false_merge,0.42000000000000004,0.026382978723404296,0.39361702127659576,0.06281661600810547
pact_false_merge,0.44285714285714284,0.03459726443768997,0.4082598784194529,0.07812285518188058
pact_false_merge,0.46571428571428575,0.04497365754812564,0.4207406281661601,0.09656920332419615
pact_false_merge,0.48857142857142855,0.05680977710233027,0.4317616514690983,0.11627732155447718
pact_false_merge,0.5114285714285715,0.07525835866261402,0.43617021276595747,0.14715321526209443
pact_false_merge,0.5342857142857143,0.09264184397163121,0.4416438703140831,0.17339382561535252
pact_false_merge,0.5571428571428572,0.11221012045480135,0.44493273668805583,0.20140278030348957
pact_false_merge,0.58,0.13183130699088147,0.44816869300911855,0.2272953568808301
pact_false_merge,0.6028571428571429,0.14865417088821342,0.4542029719689294,0.24658274791883744
pact_false_merge,0.6257142857142857,0.16956364557428383,0.45615064014000184,0.27099212763013397
pact_false_merge,0.6485714285714286,0.18873438027693346,0.4598370482944951,0.29100014580143924
pact_false_merge,0.6714285714285714,0.20378672745694018,0.4676418439716312,0.3035121472762939
pact_false_merge,0.6942857142857143,0.2195516717325228,0.4747340425531915,0.31622668768058837
pact_false_merge,0.7171428571428571,0.23683485309017221,0.4803080040526849,0.330247803113786
pact_false_merge,0.74,0.25275709219858156,0.48724290780141843,0.3415636381061913
pact_false_merge,0.7628571428571428,0.27039260385005054,0.4924645390070922,0.35444723351130225
pact_false_merge,0.7857142857142857,0.28979863221884494,0.4959156534954407,0.3688346228239845
pact_false_merge,0.8085714285714285,0.3102184650455926,0.49835296352583586,0.3836624126005563
pact_false_merge,0.8314285714285714,0.33231509625126643,0.499113475177305,0.39969169652214176
pact_false_merge,0.8542857142857143,0.3547289766970618,0.4995567375886525,0.41523458810692854
pact_false_merge,0.8771428571428571,0.3775861195542046,0.4995567375886525,0.43047277473606393
pact_false_merge,0.9,0.4,0.5,0.4444444444444445
