method,accuracy,negative_log_likelihood,unnormalized_multiclass_brier,adaptive_ece_10,ncsAURC
product,0.8577127659574468,0.4412654777819937,0.22814121697657225,0.05842537274944514,0.16535927895126154
nested_dirichlet,0.8648049645390071,0.4500616126010441,0.27331941172429436,0.19110915023556804,0.16424020060799088
hierarchy_matched_cautious,0.8648049645390071,0.544947007102639,0.3551778445615593,0.2680852684891598,0.16462471361229097
pact_registered_family,0.8661347517730497,0.5958567109002637,0.4036537894458374,0.30617627198594144,0.16495748413533468
pact_false_split,0.8661347517730497,0.5971862518345629,0.40493044472733475,0.30685618873753323,0.16431451705544503
pact_false_merge,0.762854609929078,0.5966155739750288,0.40509811829119136,0.18314487991307915,0.1714560984059739
