model_key,accuracy,negative_log_likelihood,unnormalized_multiclass_brier,adaptive_ece_10,predicted_ready_rate,early_predicted_ready_rate,event_proximal_predicted_ready_rate,probability_mean,probability_std
qwen3vl_8b,0.5571808510638298,1.0233382730513665,0.6435770956733962,0.3221635845069961,0.060726950354609927,0.0035460992907801418,0.11790780141843972,0.1365144899794841,0.17391973923667667
qwen3vl_32b,0.7938829787234043,0.4266515944033215,0.2842443866926113,0.08283748391021277,0.30895390070921985,0.015070921985815602,0.6028368794326241,0.33670385666496233,0.36581697427225573
internvl3_2b,0.5,0.7517771245339966,0.555327500691487,0.25146163969495555,1.0,1.0,1.0,0.7233590156549936,0.04981676981234739
internvl3_8b,0.648936170212766,0.6015696247611472,0.41426733652208975,0.08025106001367416,0.7083333333333334,0.5593971631205674,0.8572695035460993,0.5585818654229184,0.13323285427551984
llava_onevision_0_5b,0.5,0.6962492249615717,0.5030931041163209,0.05086695002477633,1.0,1.0,1.0,0.5508669500247763,0.011699649000064552
llava_onevision_7b,0.5,0.688402903469037,0.49608928478858705,0.2622084853697417,1.0,1.0,1.0,0.6158163496868044,0.026708987248126526
smolvlm2_0_5b,0.5039893617021277,0.6922368078625669,0.499097012146686,0.039045839608418086,0.9942375886524822,0.9902482269503546,0.99822695035461,0.5328564608303222,0.016543040513962718
smolvlm2_2_2b,0.5913120567375887,0.6894443040894603,0.4962985048809271,0.08338565012987756,0.40691489361702127,0.31560283687943264,0.49822695035460995,0.4943726095524003,0.008467358227914912
