method,task_id,accuracy,negative_log_likelihood,unnormalized_multiclass_brier,adaptive_ece_10,ncsAURC
product,task_01,0.6818181818181818,0.6888929825110893,0.4425152719965777,0.19770355238513704,0.2638690063265843
product,task_02,0.8509433962264151,0.31784845443459475,0.20647711637985472,0.027142301350237492,0.16095448947407984
product,task_03,0.9700854700854701,0.0724162073116502,0.042578505256786144,0.008958148374439758,0.13284628410751503
product,task_04,0.9139784946236559,0.26735967441005376,0.13408424279269734,0.0436170288207081,0.1419589172043212
product,task_05,0.5,2.272559985069297,0.97178227951413,0.4726981224254042,0.7683273429567584
product,task_06,0.9437086092715232,0.21318592501004813,0.09725350860555734,0.03013872134202815,0.13282280614857728
nested_dirichlet,task_01,0.5909090909090909,0.6443097547616001,0.4538272038499841,0.24782368904740362,0.23982489505039986
nested_dirichlet,task_02,0.8584905660377359,0.4858134737103617,0.3034137425530889,0.2226676455673463,0.16344895945590995
nested_dirichlet,task_03,0.9914529914529915,0.317259067587491,0.15405234768235795,0.25906516791332146,0.13280272792360798
nested_dirichlet,task_04,0.9247311827956989,0.37759245029086674,0.20585516852799304,0.2249630743278329,0.13828007185645363
nested_dirichlet,task_05,0.46788990825688076,0.7771653276482672,0.5798964832512918,0.24226604198487042,0.7012553080702179
nested_dirichlet,task_06,0.9602649006622517,0.3247364916485028,0.15961203261159726,0.22556532711967808,0.13290631433819372
hierarchy_matched_cautious,task_01,0.5454545454545454,0.6620309134061819,0.4693806971675876,0.28439454587039653,0.25942191210791476
hierarchy_matched_cautious,task_02,0.8613207547169811,0.5681800229790605,0.37726213508017686,0.2833111304001988,0.16471966983776434
hierarchy_matched_cautious,task_03,0.9935897435897436,0.4678435887065178,0.28075743574722645,0.36545365269331886,0.13280272792360798
hierarchy_matched_cautious,task_04,0.9193548387096774,0.5018756363166074,0.31292323674913736,0.3167612314339235,0.13822983134590827
hierarchy_matched_cautious,task_05,0.44954128440366975,0.7324261619062647,0.5387098546527486,0.22146485283789913,0.6916893682610287
hierarchy_matched_cautious,task_06,0.9668874172185431,0.4655509020056577,0.2782120149962341,0.33379208823782597,0.13290631433819372
pact_registered_family,task_01,0.5454545454545454,0.6668773003600689,0.4739380461005203,0.27994453622784027,0.25942191210791476
pact_registered_family,task_02,0.8613207547169811,0.6163558546701795,0.42376466073041213,0.3157583572200462,0.16391072168358745
pact_registered_family,task_03,0.9935897435897436,0.5396829277544274,0.3482568193406148,0.40993509041124054,0.13280272792360798
pact_registered_family,task_04,0.9247311827956989,0.566545236597204,0.3746502334175759,0.36159643603820557,0.13773599516299126
pact_registered_family,task_05,0.46788990825688076,0.7121218038247357,0.5188844745357557,0.2053112721015437,0.7008030108979726
pact_registered_family,task_06,0.9602649006622517,0.53990945630046,0.3484762294221498,0.37477394446736184,0.13290631433819372
pact_false_split,task_01,0.5454545454545454,0.6687551787140601,0.4757617195439044,0.27960054683601093,0.23982489505039986
pact_false_split,task_02,0.8613207547169811,0.6147821107824388,0.4222131152781646,0.3147599070604074,0.16383506102315917
pact_false_split,task_03,0.9935897435897436,0.5433654435873806,0.35187696243792405,0.41201514199504424,0.13280272792360798
pact_false_split,task_04,0.9247311827956989,0.5699094299492137,0.37784636888793877,0.3544966693867041,0.13773599516299126
pact_false_split,task_05,0.46788990825688076,0.7128424649609593,0.5195966192952037,0.20591527700311257,0.6986671635224415
pact_false_split,task_06,0.9602649006622517,0.5469294498236499,0.3552335007933362,0.3788719844231467,0.13290631433819372
pact_false_merge,task_01,0.7272727272727273,0.6504920342158357,0.457683646981485,0.2894090917094313,0.27030251428478064
pact_false_merge,task_02,0.7405660377358491,0.6102257726760713,0.41813463464608847,0.20579555506362712,0.16033824481769338
pact_false_merge,task_03,0.9337606837606838,0.5140197397353559,0.3245216037785961,0.32691572410573233,0.13378913691649674
pact_false_merge,task_04,0.7849462365591398,0.5777250387667789,0.38690570524764734,0.2269904899713067,0.1384754187845537
pact_false_merge,task_05,0.5,0.724249866944213,0.5302859526215498,0.30384722232174227,0.7705928729579271
pact_false_merge,task_06,0.7549668874172185,0.5924173003234279,0.4012142135448278,0.2575303708971645,0.13272132784220791
