contrast,estimand,point,ci95_low,ci95_high,replicates
pact_registered_family-minus-product,accuracy,0.008421985815602828,0.0013285799948266925,0.01651785714285714,2000
pact_registered_family-minus-product,negative_log_likelihood,0.15459123311827,0.1297532908285399,0.18012753451746039,2000
pact_registered_family-minus-product,unnormalized_multiclass_brier,0.17551257246926516,0.16324719215806258,0.18796369234830476,2000
pact_registered_family-minus-product,adaptive_ece_10,0.2477508992364963,0.22819997116174776,0.2631368971606421,2000
pact_registered_family-minus-product,ncsAURC,-0.0004017948159268647,-0.0017412234885622296,0.0007038962442993347,2000
pact_registered_family-minus-nested_dirichlet,accuracy,0.0013297872340425343,-0.000444049733570151,0.0035366931918655586,2000
pact_registered_family-minus-nested_dirichlet,negative_log_likelihood,0.1457950982992196,0.14143837441899146,0.1502844252452142,2000
pact_registered_family-minus-nested_dirichlet,unnormalized_multiclass_brier,0.13033437772154305,0.1263418936447263,0.13431065063129066,2000
pact_registered_family-minus-nested_dirichlet,adaptive_ece_10,0.1150671217503734,0.10848190534435928,0.11751807740446858,2000
pact_registered_family-minus-nested_dirichlet,ncsAURC,0.0007172835273437927,0.0002966230388062749,0.0011040995957409003,2000
pact_registered_family-minus-hierarchy_matched_cautious,accuracy,0.0013297872340425343,-0.002669158087045845,0.005711900632658,2000
pact_registered_family-minus-hierarchy_matched_cautious,negative_log_likelihood,0.05090970379762472,0.04934972327578911,0.0525113145460563,2000
pact_registered_family-minus-hierarchy_matched_cautious,unnormalized_multiclass_brier,0.04847594488427809,0.04698601628477236,0.049996969383182745,2000
pact_registered_family-minus-hierarchy_matched_cautious,adaptive_ece_10,0.03809100349678163,0.03204083200864178,0.04180907670334818,2000
pact_registered_family-minus-hierarchy_matched_cautious,ncsAURC,0.0003327705230437017,-0.00022092371322166086,0.0010330851518748627,2000
pact_registered_family-minus-pact_false_split,accuracy,0.0,0.0,0.0,2000
pact_registered_family-minus-pact_false_split,negative_log_likelihood,-0.001329540934299156,-0.0015114451553982027,-0.0011440601294413046,2000
pact_registered_family-minus-pact_false_split,unnormalized_multiclass_brier,-0.0012766552814973409,-0.0014523647156501728,-0.0010980156243871834,2000
pact_registered_family-minus-pact_false_split,adaptive_ece_10,-0.0006799167515917914,-0.0014872315407361988,-0.00029355423055465785,2000
pact_registered_family-minus-pact_false_split,ncsAURC,0.0006429670798896447,0.00016858301140305275,0.0009638405769975363,2000
pact_registered_family-minus-pact_false_merge,accuracy,0.1032801418439716,0.09022021906453521,0.11743839283460797,2000
pact_registered_family-minus-pact_false_merge,negative_log_likelihood,-0.000758863074765137,-0.0026361263436837064,0.0011025748884887232,2000
pact_registered_family-minus-pact_false_merge,unnormalized_multiclass_brier,-0.0014443288453539482,-0.0033091398046498632,0.000393455942371938,2000
pact_registered_family-minus-pact_false_merge,adaptive_ece_10,0.12303139207286229,0.10719836473565153,0.1312719813688914,2000
pact_registered_family-minus-pact_false_merge,ncsAURC,-0.006498614270639219,-0.008881998126737674,-0.003846272251662333,2000
